entry,exit,r,saat
2022-02-07 01:35:00,2022-02-21 00:15:00,4.9944,1
2022-02-22 01:05:00,2022-02-23 09:30:00,-1.0064768073149823,1
2022-02-22 01:05:00,2022-02-23 09:30:00,-1.0064,1
2022-03-04 15:00:00,2022-03-06 23:00:00,1.9934336801697143,15
2022-03-04 14:35:00,2022-03-08 06:50:00,1.9966326726957861,14
2022-03-04 02:20:00,2022-03-08 14:35:00,4.9952,2
2022-03-21 07:30:00,2022-03-22 14:00:00,-1.0118095238095237,7
2022-03-23 19:35:00,2022-03-23 20:55:00,-0.0334,19
2022-03-24 12:30:00,2022-03-28 05:50:00,-1.0102820488633146,12
2022-04-08 17:20:00,2022-04-12 12:50:00,1.9930722601751176,17
2022-05-04 07:00:00,2022-05-05 12:45:00,4.990094339622642,7
2022-05-18 01:20:00,2022-05-19 12:35:00,-1.0041333453140444,1
2022-05-31 00:35:00,2022-06-02 13:25:00,-1.0070793247413323,0
2022-06-09 19:25:00,2022-06-10 14:45:00,-1.014486109837719,19
2022-06-30 14:35:00,2022-07-01 11:40:00,1.990644683216006,14
2022-06-23 22:10:00,2022-07-14 13:00:00,4.995521250238232,22
2022-07-20 08:30:00,2022-07-21 15:00:00,-1.0132510437465965,8
2022-08-26 14:00:00,2022-08-31 08:30:00,1.9938571559548914,14
2022-08-26 14:00:00,2022-08-31 08:30:00,1.9938595622462116,14
2022-09-06 12:30:00,2022-09-08 07:00:00,-1.0086277359004632,12
2022-10-10 06:30:00,2022-10-10 07:10:00,-1.031409422826848,6
2022-10-14 15:15:00,2022-10-16 22:00:00,-0.0196078431372549,15
2022-10-13 12:30:00,2022-11-04 18:40:00,-1.0046788990825688,12
2022-11-07 07:20:00,2022-11-07 08:10:00,-1.0309340881520421,7
2022-11-15 13:30:00,2022-11-17 02:25:00,-1.0050495241794524,13
2022-11-15 13:40:00,2022-11-17 02:25:00,-1.008809780654441,13
2022-12-30 00:30:00,2023-01-02 23:05:00,4.961538461538462,0
2023-01-12 13:30:00,2023-01-16 01:55:00,1.9935546530107715,13
2023-02-01 15:25:00,2023-02-01 17:10:00,-1.0143710501255303,15
2023-02-06 02:15:00,2023-02-06 03:00:00,-1.034729315628192,2
2023-02-07 15:35:00,2023-02-07 17:30:00,-0.01888934764657308,15
2023-02-07 15:35:00,2023-02-07 17:45:00,1.981108973237712,15
2023-02-08 07:25:00,2023-02-08 10:50:00,-0.023330236399298026,7
2023-02-14 07:15:00,2023-02-14 14:25:00,-1.0101192007546522,7
2023-02-17 16:00:00,2023-02-24 12:10:00,-1.004764792514944,16
2023-02-28 21:00:00,2023-03-15 16:25:00,4.994924302091538,21
2023-03-23 16:25:00,2023-03-23 18:00:00,1.9719124328789757,16
2023-03-23 18:05:00,2023-03-23 18:55:00,-1.0248101265822784,18
2023-03-30 14:20:00,2023-03-30 16:35:00,1.9833231021076325,14
2023-04-04 13:15:00,2023-04-04 14:05:00,1.9900816802800467,13
2023-04-04 14:10:00,2023-04-05 14:30:00,-0.007524077046548956,14
2023-04-11 14:45:00,2023-04-12 02:35:00,1.9880130766436612,14
2023-04-04 14:05:00,2023-04-19 09:35:00,-1.0030236168995668,14
2023-05-30 23:45:00,2023-05-31 01:45:00,-1.038798084860492,23
2023-06-01 12:00:00,2023-06-02 17:50:00,-1.0067567567567568,12
2023-06-12 12:35:00,2023-06-12 13:45:00,-1.0097052800284927,12
2023-07-05 12:40:00,2023-07-05 14:35:00,-1.0096907390241847,12
2023-07-25 15:00:00,2023-07-27 13:35:00,-1.0081716036772217,15
2023-08-15 05:40:00,2023-08-15 14:35:00,-1.0196061570212398,5
2023-08-29 12:15:00,2023-08-29 14:00:00,-1.0085143353605561,12
2023-09-05 05:30:00,2023-09-05 13:55:00,4.958574688432509,5
2023-10-02 00:35:00,2023-10-12 06:35:00,-1.002843047077515,0
2023-10-19 16:55:00,2023-10-19 17:15:00,-0.020668205076753286,16
2023-10-27 06:05:00,2023-10-27 10:55:00,-1.012416589238956,6
2023-10-27 18:15:00,2023-11-01 18:40:00,-1.0033276450511945,18
2023-11-03 13:40:00,2023-11-06 03:40:00,-1.0062920186174797,13
2023-11-14 02:55:00,2023-11-28 14:00:00,4.994063680518079,2
2023-11-21 19:10:00,2023-12-03 23:00:00,4.9947757945145845,19
2023-11-21 19:10:00,2023-12-03 23:00:00,4.994801373222168,19
2023-12-14 00:30:00,2023-12-14 01:10:00,-1.022779729051681,0
2024-01-30 13:00:00,2024-01-31 14:45:00,1.985156314785637,13
2024-02-07 14:05:00,2024-02-08 08:35:00,-1.0158562367864694,14
2024-02-06 17:45:00,2024-02-08 14:00:00,-1.0061680801850423,17
2024-02-09 01:15:00,2024-02-12 14:05:00,-1.0064897724472193,1
2024-02-29 05:20:00,2024-02-29 11:45:00,-1.0178408430835615,5
2024-03-07 07:45:00,2024-03-20 22:15:00,4.992152466367713,7
2024-03-07 07:25:00,2024-03-20 22:15:00,4.992816962353959,7
2024-03-01 20:30:00,2024-04-03 16:20:00,4.997149564050972,20
2024-04-01 22:25:00,2024-04-12 07:55:00,4.9962083745466535,22
2024-04-12 12:50:00,2024-04-12 14:55:00,1.9935041822388326,12
2024-04-12 12:50:00,2024-04-12 14:55:00,1.9935625686921024,12
2024-04-15 05:45:00,2024-04-15 06:05:00,-0.029200040555611883,5
2024-04-15 05:45:00,2024-04-15 08:30:00,-1.0086234429894603,5
2024-04-24 04:00:00,2024-04-24 04:55:00,-1.026470588235294,4
2024-04-23 19:30:00,2024-04-30 20:30:00,-1.0031456686562348,19
2024-05-02 02:50:00,2024-05-02 13:00:00,-1.0040024630541873,2
2024-05-02 02:55:00,2024-05-02 13:00:00,-1.0040132612109578,2
2024-05-01 17:35:00,2024-05-03 13:35:00,-1.0049698549780022,17
2024-05-15 07:05:00,2024-05-15 13:50:00,-1.0130864197530864,7
2024-05-06 12:40:00,2024-05-16 00:35:00,1.9968123153475352,12
2024-05-20 00:25:00,2024-05-20 01:00:00,1.9772517675991392,0
2024-05-20 00:25:00,2024-05-20 05:30:00,4.979495388368016,0
2024-05-20 03:35:00,2024-05-20 05:35:00,1.977290996784566,3
2024-06-06 19:50:00,2024-06-07 08:30:00,-1.0051553877432473,19
2024-06-20 14:00:00,2024-06-20 14:45:00,1.9789141787368214,14
2024-06-24 02:40:00,2024-06-24 08:00:00,1.9730434782608697,2
2024-06-24 12:00:00,2024-06-25 15:30:00,-1.0143011557329342,12
2024-07-05 14:05:00,2024-07-15 16:40:00,1.9963040739185216,14
2024-07-16 04:40:00,2024-07-17 01:50:00,4.9881179404430105,4
2024-07-23 14:30:00,2024-07-24 01:25:00,-0.02018192154633314,14
2024-07-29 03:40:00,2024-07-29 08:25:00,-1.016882154327596,3
2024-08-20 14:20:00,2024-08-21 14:00:00,-1.0040539349607827,14
2024-08-20 14:15:00,2024-08-21 14:00:00,-1.0037026687159425,14
2024-08-23 20:15:00,2024-09-02 02:30:00,-1.0058574453069866,20
2024-09-16 13:35:00,2024-09-17 09:40:00,-1.010150594891422,13
2024-09-24 13:00:00,2024-09-24 19:40:00,1.9910909396537233,13
2024-10-02 23:50:00,2024-10-03 14:00:00,-1.0055212196126906,23
2024-09-19 06:00:00,2024-10-18 18:55:00,4.996578028088686,6
2024-10-11 07:45:00,2024-10-22 13:45:00,4.99483892449846,7
2024-10-25 15:15:00,2024-10-30 06:45:00,1.995163719971458,15
2024-11-07 20:20:00,2024-11-07 20:40:00,-1.0197119029567854,20
2024-11-07 20:45:00,2024-11-11 13:30:00,-1.002176616915423,20
2024-11-07 20:45:00,2024-11-11 13:30:00,-1.0022406300923412,20
2024-11-17 23:10:00,2024-11-18 01:20:00,1.982669475296821,23
2024-11-18 13:35:00,2024-11-18 15:55:00,1.977185240822458,13
2024-11-18 08:50:00,2024-11-19 02:10:00,4.978878768844221,8
2024-11-19 02:35:00,2024-11-19 07:15:00,-1.0270668385196096,2
2024-11-19 12:20:00,2024-11-19 13:25:00,-1.022325581395349,12
2024-11-22 06:55:00,2024-11-22 09:35:00,1.9714285714285713,6
2024-11-27 08:50:00,2024-11-27 11:10:00,-1.0233179723502304,8
2024-11-29 02:10:00,2024-12-01 23:25:00,-1.011732936027563,2
2024-12-03 16:20:00,2024-12-03 17:35:00,-0.028316086547507054,16
2024-12-03 16:20:00,2024-12-04 13:00:00,-1.0154824233358266,16
2024-12-09 01:10:00,2024-12-09 13:45:00,1.9886139079702647,1
2024-12-10 13:45:00,2024-12-10 14:40:00,1.9770274010517574,13
2024-12-11 15:00:00,2024-12-12 00:55:00,1.9818148918845564,15
2024-12-20 11:55:00,2025-01-10 14:00:00,4.9921414538310405,11
2025-01-10 14:00:00,2025-01-13 12:30:00,-1.0066210867218426,14
2024-11-19 06:50:00,2025-02-05 08:40:00,4.997873945545573,6
2025-02-07 14:20:00,2025-02-07 17:20:00,-1.0079970919665575,14
2025-03-03 04:40:00,2025-03-13 02:45:00,4.99228848413631,4
2025-03-13 14:00:00,2025-03-14 09:35:00,1.9939251420732902,14
2025-03-17 00:20:00,2025-03-18 12:00:00,4.982324687800192,0
2025-04-02 22:45:00,2025-04-03 10:30:00,-1.0031720856463124,22
2025-04-10 00:20:00,2025-04-10 01:15:00,-1.0147267565649396,0
2025-04-10 18:40:00,2025-04-10 22:30:00,1.9799247176913424,18
2025-03-14 03:55:00,2025-04-16 01:05:00,4.997481813094572,3
2025-04-16 20:25:00,2025-04-17 14:35:00,-1.0027113630761646,20
2025-04-24 19:45:00,2025-04-24 20:05:00,-1.025046137621935,19
2025-05-08 01:00:00,2025-05-08 05:55:00,-1.0039307128580945,1
2025-05-05 23:30:00,2025-05-08 17:05:00,-1.0044192705091497,23
2025-05-06 00:20:00,2025-05-08 17:05:00,-1.0056084750289325,0
2025-05-13 22:35:00,2025-05-14 11:55:00,-1.0043741588156123,22
2025-05-15 15:25:00,2025-05-15 19:40:00,1.981974782454271,15
2025-06-04 01:20:00,2025-06-04 02:40:00,-0.01715280801044841,1
2025-06-06 05:00:00,2025-06-06 12:30:00,-1.0061862678450033,5
2025-06-06 05:55:00,2025-06-06 12:30:00,-1.0100603621730382,5
2025-06-09 14:40:00,2025-06-09 16:50:00,1.9857162477681638,14
2025-06-11 02:15:00,2025-06-11 09:05:00,-0.01776539231908038,2
2025-06-13 03:25:00,2025-06-17 03:20:00,-1.0024771341463417,3
2025-06-10 12:30:00,2025-06-24 13:40:00,-1.0033667766480372,12
2025-06-25 06:00:00,2025-06-25 13:00:00,-1.009046388246497,6
2025-06-25 18:20:00,2025-06-27 03:05:00,-1.006252576611241,18
2025-07-11 00:10:00,2025-07-22 14:25:00,4.992365352581898,0
2025-08-28 11:55:00,2025-09-09 00:00:00,4.991723341460284,11
2025-07-31 12:15:00,2025-09-09 00:00:00,4.996959079791101,12
2025-09-09 13:30:00,2025-09-09 15:15:00,-1.0045331486494995,13
2025-09-16 00:15:00,2025-09-16 01:00:00,-0.025433324623290652,0
2025-09-15 11:55:00,2025-09-17 18:05:00,4.989633021687974,11
2025-09-22 06:35:00,2025-09-22 12:20:00,-0.01454957309635825,6
2025-09-23 08:40:00,2025-09-23 09:20:00,1.9805698353228196,8
2025-09-25 11:55:00,2025-09-25 13:40:00,-1.0053307487278895,11
2025-09-26 00:55:00,2025-09-26 01:15:00,-1.0235816814764183,0
2025-09-29 08:10:00,2025-09-29 09:45:00,-1.0200276243093922,8
2025-09-30 06:55:00,2025-09-30 08:20:00,-1.0044064748201438,6
2025-09-22 22:45:00,2025-10-05 22:55:00,4.995966756294305,22
2025-09-26 00:55:00,2025-10-05 23:00:00,4.994982254314038,0
2025-10-08 01:55:00,2025-10-09 17:10:00,-1.003550433618532,1
2025-10-15 00:25:00,2025-10-16 17:15:00,4.994532306426009,0
2025-10-20 15:10:00,2025-10-20 19:40:00,1.9863073434502005,15
