ym,rej,er,chg,atrp,above,R,pnl,n,sl,tp,be,lng,stoppct
2022-02,BOGA,0.4466551619124938,5.864783419546393,0.9520782943245093,0.9642857142857143,2.7486258648622894,265.36737415599794,3.0,2.0,1.0,0.0,3.0,66.66666666666667
2022-03,YATAY,0.012214711271522311,-0.2838551159826008,1.580026742728393,1.0,6.457161325506254,657.1085298972876,5.0,3.0,2.0,0.0,5.0,60.0
2022-04,YATAY,0.1208103406660173,-1.5082258837122997,0.9570335125402355,1.0,-1.0968270807213811,-119.80067360092394,1.0,1.0,0.0,0.0,1.0,100.0
2022-05,ZAYIF-AYI,0.21482235368120506,-3.2043341531733938,1.161044273184798,0.16666666666666666,3.770191965348724,401.76836884935733,2.0,1.0,1.0,0.0,1.0,50.0
2022-06,YATAY,0.13932028545184663,-2.136452089644736,1.0290299060359274,0.13333333333333333,-2.2997670803290475,-256.1976496019515,2.0,2.0,0.0,0.0,0.0,100.0
2022-07,ZAYIF-AYI,0.2065137817729877,-2.6797776204325885,1.0025421099062588,0.0,8.654891848324638,961.028197680696,3.0,1.0,2.0,0.0,0.0,33.333333333333336
2022-08,ZAYIF-AYI,0.25009673776563374,-3.5741734089172583,0.8847526204037529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-09,YATAY,0.1475050774560971,-2.1826521580796565,1.050540362575008,0.0,8.726525718134408,1054.714056618965,3.0,1.0,2.0,0.0,0.0,33.333333333333336
2022-10,YATAY,0.09208097015420895,-1.6705040669213522,1.2144597543737699,0.0,-1.6849037536775895,-217.95194635149744,2.0,1.0,0.0,1.0,0.0,50.0
2022-11,BOGA,0.39545551125498524,7.685730387298628,1.122795688371215,0.6,-5.703282627429666,-710.6079560232814,5.0,5.0,0.0,0.0,2.0,100.0
2022-12,YATAY,0.08373276061405337,1.1855626053633106,0.9423347929393517,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2023-01,BOGA,0.4270423810798022,5.688900734481606,0.8673887399574365,1.0,4.598406000937646,553.4378572604559,1.0,0.0,1.0,0.0,1.0,0.0
2023-02,AYI,0.6228885547462369,-6.533076290908523,1.0185414221201767,1.0,-5.156719335948142,-635.9722976224875,6.0,4.0,0.0,2.0,6.0,66.66666666666667
2023-03,BOGA,0.3099521268743283,7.202548360309846,1.1773986880678962,1.0,6.957778393576571,841.3455576679729,4.0,1.0,3.0,0.0,4.0,25.0
2023-04,YATAY,0.06121491195255168,0.9142866430848384,1.1009220562296465,1.0,9.555751532556169,1251.0891326607748,3.0,0.0,2.0,1.0,3.0,0.0
2023-05,YATAY,0.046861898698798594,-0.7616077038966274,1.061142297042235,1.0,-1.5678096212896624,-220.20401237359346,1.0,1.0,0.0,0.0,1.0,100.0
2023-06,ZAYIF-AYI,0.2833325923620682,-2.901368054449016,0.9378225833399435,0.8518518518518519,-2.2323820910032333,-306.90775893294597,2.0,2.0,0.0,0.0,2.0,100.0
