s,entry,exit,r,px,sl,dir,conf,reason
fvg,2022-02-07 01:35:00,2022-02-20 23:00:00,4.9282,1810.03,1790.87,bull,EMA,tp
fvg,2022-02-22 01:05:00,2022-02-23 09:30:00,-1.0897741351377108,1905.72,1890.39,bull,EMA,sl
fib,2022-02-22 01:05:00,2022-02-23 09:30:00,-1.0898,1905.72,1890.39,bull,FIB618,sl
fib,2022-03-04 15:00:00,2022-03-08 14:35:00,4.904761904761905,1946.38,1931.15,bull,FIB618,tp
harmonic,2022-03-04 02:20:00,2022-03-08 14:35:00,4.9149,1937.15,1920.36,bull,EMA+PRZ,tp
fvg,2022-03-04 14:35:00,2022-03-15 05:15:00,-1.0515513586432839,1958.7,1931.41,bull,EMA,sl
harmonic,2022-03-21 07:30:00,2022-03-22 14:00:00,-1.1660470879801734,1924.79,1916.4,bull,EMA+PRZ,sl
fvg,2022-03-24 12:30:00,2022-03-28 05:50:00,-1.144902132632194,1945.14,1935.43,bull,EMA,sl
harmonic,2022-04-08 17:20:00,2022-04-22 15:10:00,-1.0968270807213811,1941.21,1926.73,bull,EMA+PRZ,sl
harmonic,2022-05-04 07:00:00,2022-05-05 12:45:00,4.827401267674306,1867.51,1859.65,bull,EMA+PRZ,tp
harmonic,2022-05-18 01:20:00,2022-05-19 12:35:00,-1.0572093023255815,1814.57,1837.84,bear,EMA+PRZ,sl
harmonic,2022-05-31 00:35:00,2022-06-02 13:25:00,-1.0978659396446366,1848.73,1862.54,bear,EMA+PRZ,sl
harmonic,2022-06-09 19:25:00,2022-06-10 14:45:00,-1.2019011406844107,1847.78,1854.45,bear,EMA+PRZ,sl
harmonic,2022-06-30 14:35:00,2022-07-06 14:10:00,4.883779103328844,1809.14,1820.4,bear,EMA+PRZ,tp
fvg,2022-06-23 22:25:00,2022-07-14 13:45:00,4.949074074074074,1823.25,1848.24,bear,EMA,tp
fvg,2022-07-20 08:30:00,2022-07-21 15:00:00,-1.1779613290782804,1707.81,1714.83,bear,EMA,sl
harmonic,2022-09-06 12:30:00,2022-09-08 07:00:00,-1.1148518484542702,1711.51,1722.42,bear,EMA+PRZ,sl
fvg,2022-08-26 14:00:00,2022-09-15 14:50:00,4.920695222718207,1745.23,1760.65,bear,EMA,tp
fib,2022-08-26 14:00:00,2022-09-15 14:50:00,4.92068234387047,1745.23,1760.65,bear,FIB618,tp
