s,entry,exit,r,px,dir,reason
fvg,2022-02-07 01:35:00,2022-02-20 23:00:00,4.9282,1810.03,bull,tp
fvg,2022-02-22 01:05:00,2022-02-23 09:30:00,-1.0897741351377108,1905.72,bull,sl
fib,2022-02-22 01:05:00,2022-02-23 09:30:00,-1.0898,1905.72,bull,sl
harmonic,2022-03-04 02:20:00,2022-03-08 14:35:00,4.9149,1937.15,bull,tp
fib,2022-03-04 15:00:00,2022-03-08 14:35:00,4.904761904761905,1946.38,bull,tp
fvg,2022-03-04 14:35:00,2022-03-15 05:15:00,-1.0515513586432839,1958.7,bull,sl
harmonic,2022-03-21 07:30:00,2022-03-22 14:00:00,-1.1660470879801734,1924.79,bull,sl
fvg,2022-03-24 12:30:00,2022-03-28 05:50:00,-1.144902132632194,1945.14,bull,sl
harmonic,2022-04-08 17:20:00,2022-04-22 15:10:00,-1.0968270807213811,1941.21,bull,sl
harmonic,2022-05-04 07:00:00,2022-05-05 12:45:00,4.827401267674306,1867.51,bull,tp
harmonic,2022-05-18 01:20:00,2022-05-19 12:35:00,-1.0572093023255815,1814.57,bear,sl
harmonic,2022-05-31 00:35:00,2022-06-02 13:25:00,-1.0978659396446366,1848.73,bear,sl
harmonic,2022-06-09 19:25:00,2022-06-10 14:45:00,-1.2019011406844107,1847.78,bear,sl
harmonic,2022-06-30 14:35:00,2022-07-06 14:10:00,4.883779103328844,1809.14,bear,tp
fvg,2022-06-23 22:25:00,2022-07-14 13:45:00,4.949074074074074,1823.25,bear,tp
fvg,2022-07-20 08:30:00,2022-07-21 15:00:00,-1.1779613290782804,1707.81,bear,sl
harmonic,2022-09-06 12:30:00,2022-09-08 07:00:00,-1.1148518484542702,1711.51,bear,sl
fvg,2022-08-26 14:00:00,2022-09-15 14:50:00,4.920695222718207,1745.23,bear,tp
fib,2022-08-26 14:00:00,2022-09-15 14:50:00,4.92068234387047,1745.23,bear,tp
threevol,2022-10-10 06:30:00,2022-10-10 07:10:00,-1.4259,1684.98,bear,sl
threevol,2022-10-14 15:15:00,2022-10-16 22:00:00,-0.25900375367758954,1645.29,bear,be
harmonic,2022-10-26 14:00:00,2022-10-28 07:10:00,-1.0918367346938775,1666.04,bull,sl
harmonic,2022-11-01 18:15:00,2022-11-02 19:20:00,-1.1193021947101858,1649.9,bull,sl
fvg,2022-11-03 02:15:00,2022-11-04 14:15:00,-1.0370236263238888,1638.61,bear,sl
harmonic,2022-10-13 12:30:00,2022-11-04 18:40:00,-1.0612244897959184,1658.71,bear,sl
threevol,2022-11-07 07:20:00,2022-11-07 08:10:00,-1.4174125305126122,1667.72,bear,sl
fvg,2022-11-04 07:10:00,2022-11-10 15:00:00,4.937268036571014,1647.03,bull,tp
fvg,2022-11-15 13:40:00,2022-11-17 02:25:00,-1.1190974037288726,1777.37,bull,sl
fib,2022-11-15 13:30:00,2022-11-17 02:25:00,-1.068522090566731,1785.39,bull,sl
harmonic,2022-12-30 01:00:00,2023-01-03 02:35:00,4.598388952819333,1815.88,bull,tp
harmonic,2023-01-12 13:30:00,2023-02-03 14:15:00,-1.0895672900623394,1893.36,bull,sl
threevol,2023-02-07 15:35:00,2023-02-07 17:30:00,-0.2658619622407923,1872.79,bull,be
harmonic,2023-02-07 15:35:00,2023-02-07 18:40:00,-1.265270182593382,1872.79,bull,sl
threevol,2023-02-08 07:25:00,2023-02-08 10:50:00,-0.3306092893348505,1879.28,bull,be
harmonic,2023-02-14 07:15:00,2023-02-14 14:25:00,-1.1401614720240332,1858.22,bull,sl
harmonic,2023-02-17 16:00:00,2023-02-24 12:10:00,-1.065141012249549,1836.73,bull,sl
harmonic,2023-02-22 16:00:00,2023-03-03 11:15:00,-1.1122400531763366,1836.13,bear,sl
harmonic,2023-02-28 21:00:00,2023-03-15 16:25:00,4.935118533448509,1826.65,bull,tp
threevol,2023-03-23 16:25:00,2023-03-23 18:00:00,1.6240788790866632,1992.28,bull,tp
threevol,2023-03-23 18:05:00,2023-03-23 18:55:00,-1.3613522622816872,2001.47,bull,sl
threevol,2023-03-30 14:20:00,2023-03-30 16:35:00,1.7599917167115344,1970.58,bull,tp
threevol,2023-04-04 14:10:00,2023-04-05 14:30:00,-0.10785510785510785,2016.0,bull,be
harmonic,2023-04-04 13:15:00,2023-04-13 12:30:00,4.855491863905325,1985.08,bull,tp
fvg,2023-04-11 14:45:00,2023-04-13 12:50:00,4.8080888183980965,2002.11,bull,tp
harmonic,2023-05-30 23:45:00,2023-05-31 01:45:00,-1.5678511595097435,1958.38,bull,sl
harmonic,2023-06-01 12:00:00,2023-06-02 17:50:00,-1.095314879512676,1966.16,bull,sl
fvg,2023-06-12 12:35:00,2023-06-12 13:45:00,-1.137116435477091,1962.86,bull,sl
harmonic,2023-07-05 12:40:00,2023-07-05 14:35:00,-1.1366724028620596,1929.36,bull,sl
harmonic,2023-07-25 15:00:00,2023-07-27 13:35:00,-1.1161704076958314,1963.09,bull,sl
harmonic,2023-08-15 05:40:00,2023-08-15 14:35:00,-1.278858625162127,1904.73,bear,sl
harmonic,2023-08-29 12:15:00,2023-08-29 14:00:00,-1.12012012012012,1915.75,bear,sl
harmonic,2023-09-05 05:30:00,2023-09-05 13:50:00,4.331150341685649,1937.86,bear,tp
harmonic,2023-10-05 00:00:00,2023-10-05 12:35:00,-1.1613754207222777,1822.92,bull,sl
harmonic,2023-10-02 00:35:00,2023-10-12 06:35:00,-1.0392067679432364,1846.2,bear,sl
threevol,2023-10-19 16:55:00,2023-10-19 17:15:00,-0.2971376184170317,1961.58,bull,be
harmonic,2023-10-27 06:05:00,2023-10-27 10:55:00,-1.1773788484792111,1989.13,bull,sl
harmonic,2023-10-27 18:15:00,2023-11-01 18:40:00,-1.0474397590361446,2004.59,bull,sl
harmonic,2023-11-03 13:40:00,2023-11-06 03:40:00,-1.089698468562732,1998.3,bull,sl
fvg,2023-11-14 02:55:00,2023-11-28 14:00:00,4.906632653061225,1945.37,bull,tp
harmonic,2023-11-30 18:20:00,2023-12-01 09:00:00,-1.1667628390075013,2037.32,bear,sl
