s,entry,exit,r,stop,dur_h,reason
fvg,2022-02-07 01:35:00,2022-02-07 03:40:00,0.0232,4.36,2.0833333333333335,time
fib,2022-02-22 01:05:00,2022-02-22 01:15:00,0.013000000000000001,3.33,0.16666666666666666,time
fvg,2022-02-22 01:05:00,2022-02-22 01:40:00,1.471605678864227,3.33,0.5833333333333334,tp
fvg,2022-02-22 01:40:00,2022-02-22 03:45:00,-0.048866995073891625,7.19,2.0833333333333335,time
harmonic,2022-03-04 02:20:00,2022-03-04 04:25:00,0.2784,6.0,2.0833333333333335,time
fvg,2022-03-04 14:35:00,2022-03-04 15:00:00,-1.010054213898472,10.04,0.4166666666666667,sl
harmonic,2022-03-21 07:30:00,2022-03-21 09:35:00,-0.05374950139609094,4.69,2.0833333333333335,time
threevol,2022-03-23 19:35:00,2022-03-23 19:55:00,1.4682,3.01,0.3333333333333333,tp
fvg,2022-03-24 12:30:00,2022-03-24 13:25:00,1.4709221270663215,3.46,0.9166666666666666,tp
fvg,2022-03-24 13:25:00,2022-03-24 15:30:00,0.6453385672227674,11.67,2.0833333333333335,time
harmonic,2022-04-08 17:20:00,2022-04-08 19:30:00,0.23488325683496308,5.44,2.1666666666666665,time
harmonic,2022-05-04 07:00:00,2022-05-04 09:15:00,0.04320127413896078,3.92,2.25,time
harmonic,2022-05-18 01:20:00,2022-05-18 01:55:00,1.457313432835821,2.39,0.5833333333333334,tp
harmonic,2022-05-18 01:55:00,2022-05-18 04:00:00,0.7975875257428655,4.62,2.0833333333333335,time
harmonic,2022-05-19 05:55:00,2022-05-19 08:00:00,0.1912823506518778,4.6,2.0833333333333335,time
harmonic,2022-05-31 00:35:00,2022-05-31 02:40:00,-0.46319673723053023,4.05,2.0833333333333335,time
harmonic,2022-06-09 19:25:00,2022-06-09 21:30:00,-0.06692682926829269,3.08,2.0833333333333335,time
fvg,2022-06-23 22:10:00,2022-06-24 00:15:00,0.10257410296411856,3.65,2.0833333333333335,time
harmonic,2022-06-30 14:35:00,2022-06-30 15:55:00,-1.0219662208337401,4.42,1.3333333333333333,sl
fvg,2022-07-06 17:25:00,2022-07-06 19:15:00,-1.024060003896357,3.96,1.8333333333333333,sl
fvg,2022-07-20 08:30:00,2022-07-20 09:25:00,-1.0388741265623462,2.43,0.9166666666666666,sl
fvg,2022-07-21 00:00:00,2022-07-21 02:05:00,0.46404773744405764,3.81,2.0833333333333335,time
