s,entry,exit,r,px,sl,dur_h,reason
fvg,2022-02-07 01:35:00,2022-02-07 09:40:00,0.2594,1810.13,1805.77,8.083333333333334,time
fib,2022-02-22 01:05:00,2022-02-22 01:15:00,0.013000000000000001,1905.82,1902.49,0.16666666666666666,time
fvg,2022-02-22 01:05:00,2022-02-22 08:30:00,-1.0299222022740873,1905.82,1902.49,7.416666666666667,sl
harmonic,2022-03-04 02:20:00,2022-03-04 10:25:00,0.9813,1937.25,1931.25,8.083333333333334,time
fvg,2022-03-04 14:35:00,2022-03-04 15:00:00,-1.0100775975007559,1958.8,1948.76,0.4166666666666667,sl
harmonic,2022-03-21 07:30:00,2022-03-21 13:25:00,-1.0212913448207566,1924.89,1920.2,5.916666666666667,sl
threevol,2022-03-23 19:35:00,2022-03-24 02:05:00,-1.0334,1943.74,1940.73,6.5,sl
fvg,2022-03-24 12:30:00,2022-03-24 13:30:00,2.9708816941559766,1945.24,1941.78,1.0,tp
fvg,2022-03-24 13:30:00,2022-03-24 21:35:00,0.09254498714652956,1956.23,1941.78,8.083333333333334,time
harmonic,2022-04-08 17:20:00,2022-04-09 01:30:00,1.0528264132066034,1941.31,1935.87,8.166666666666666,time
harmonic,2022-05-04 07:00:00,2022-05-04 12:25:00,-1.0251485148514852,1867.61,1863.69,5.416666666666667,sl
harmonic,2022-05-18 01:20:00,2022-05-18 08:15:00,-1.0407122136640994,1814.47,1816.86,6.916666666666667,sl
harmonic,2022-05-19 05:55:00,2022-05-19 08:45:00,-1.021126048721318,1813.92,1818.52,2.8333333333333335,sl
harmonic,2022-05-31 00:35:00,2022-05-31 03:00:00,-1.024203431372549,1848.63,1852.68,2.4166666666666665,sl
harmonic,2022-06-09 19:25:00,2022-06-10 03:30:00,0.8195232690124858,1847.68,1850.76,8.083333333333334,time
fvg,2022-06-23 22:10:00,2022-06-24 06:15:00,0.1628802844725405,1824.54,1828.19,8.083333333333334,time
harmonic,2022-06-30 14:35:00,2022-06-30 15:55:00,-1.0220038890594618,1809.04,1813.46,1.3333333333333333,sl
fvg,2022-07-06 17:25:00,2022-07-06 19:15:00,-1.0240631163708087,1738.13,1742.09,1.8333333333333333,sl
fvg,2022-07-20 08:30:00,2022-07-20 09:25:00,-1.0388601036269431,1707.71,1710.14,0.9166666666666666,sl
fvg,2022-07-21 00:00:00,2022-07-21 08:05:00,1.4939589206604913,1694.18,1697.99,8.083333333333334,time
fvg,2022-08-26 14:00:00,2022-08-26 14:10:00,-1.0100198412698413,1745.13,1754.68,0.16666666666666666,sl
fib,2022-08-26 14:00:00,2022-08-26 14:10:00,-1.00999900009999,1745.13,1754.68,0.16666666666666666,sl
fvg,2022-08-26 14:20:00,2022-08-26 16:05:00,2.9814610682433105,1749.54,1754.68,1.75,tp
harmonic,2022-09-06 12:30:00,2022-09-06 16:55:00,2.972701892255196,1711.41,1714.87,4.416666666666667,tp
threevol,2022-10-10 06:30:00,2022-10-10 07:10:00,-1.0314236637364858,1684.88,1687.87,0.6666666666666666,sl
harmonic,2022-10-13 12:30:00,2022-10-13 20:35:00,-0.39927696324563167,1658.61,1678.65,8.083333333333334,time
threevol,2022-10-14 15:15:00,2022-10-14 23:20:00,0.3120980091883614,1645.19,1649.93,8.083333333333334,time
harmonic,2022-10-18 14:00:00,2022-10-18 22:05:00,0.28238733743320904,1653.3,1658.29,8.083333333333334,time
fvg,2022-11-03 02:10:00,2022-11-03 07:10:00,2.962144803425457,1637.9,1640.61,5.0,tp
threevol,2022-11-07 07:20:00,2022-11-07 08:10:00,-1.0309414758269722,1667.62,1670.64,0.8333333333333334,sl
fib,2022-11-15 13:30:00,2022-11-15 13:40:00,-0.6201010101010102,1785.49,1772.72,0.16666666666666666,time
fvg,2022-11-15 13:40:00,2022-11-15 14:30:00,-1.020226843100189,1777.47,1772.72,0.8333333333333334,sl
fvg,2022-11-16 11:55:00,2022-11-16 12:30:00,-1.0422037620548077,1783.16,1780.88,0.5833333333333334,sl
fvg,2022-11-16 12:30:00,2022-11-16 12:40:00,-1.0802856315738687,1782.08,1780.88,0.16666666666666666,sl
harmonic,2022-12-30 00:30:00,2022-12-30 07:00:00,2.953453302503267,1815.01,1812.92,6.5,tp
harmonic,2023-01-12 13:30:00,2023-01-12 14:40:00,-1.0101562499999999,1893.46,1883.71,1.1666666666666667,sl
harmonic,2023-01-12 15:15:00,2023-01-12 23:20:00,2.1133471441254805,1887.82,1883.71,8.083333333333334,time
harmonic,2023-02-01 15:25:00,2023-02-01 17:00:00,-1.0176794512607477,1928.07,1922.41,1.5833333333333333,sl
threevol,2023-02-06 02:15:00,2023-02-06 03:00:00,-1.0347593582887702,1875.33,1872.49,0.75,sl
threevol,2023-02-07 15:35:00,2023-02-07 18:40:00,-1.018913020887457,1872.89,1867.67,3.0833333333333335,sl
harmonic,2023-02-07 15:35:00,2023-02-07 18:40:00,-1.018934218231505,1872.89,1867.67,3.0833333333333335,sl
