s,entry,exit,r,px,sl,stop,mae,dur_h,reason
fvg,2022-02-07 01:35:00,2022-02-20 23:00:00,4.9282,1810.03,1790.87,19.16,0.07265135699336053,333.4166666666667,tp
fvg,2022-02-22 01:05:00,2022-02-23 09:30:00,-1.0897741351377108,1905.72,1890.39,15.33,1.0549249836852272,32.416666666666664,sl
fib,2022-02-22 01:05:00,2022-02-23 09:30:00,-1.0898,1905.72,1890.39,15.33,1.0549249836852272,32.416666666666664,sl
fib,2022-03-04 15:00:00,2022-03-08 14:35:00,4.904761904761905,1946.38,1931.15,15.23,0.0,95.58333333333333,tp
harmonic,2022-03-04 02:20:00,2022-03-08 14:35:00,4.9149,1937.15,1920.36,16.79,0.19249553305425546,108.25,tp
fvg,2022-03-04 14:35:00,2022-03-15 05:15:00,-1.0515513586432839,1958.7,1931.41,27.29,1.0044705020117108,254.66666666666666,sl
harmonic,2022-03-21 07:30:00,2022-03-22 14:00:00,-1.1660470879801734,1924.79,1916.4,8.39,1.134922526804105,30.5,sl
fvg,2022-03-24 12:30:00,2022-03-28 05:50:00,-1.144902132632194,1945.14,1935.43,9.71,1.2525231719747458,89.33333333333333,sl
harmonic,2022-04-08 17:20:00,2022-04-22 15:10:00,-1.0968270807213811,1941.21,1926.73,14.48,1.0187845303797012,333.8333333333333,sl
harmonic,2022-05-04 07:00:00,2022-05-05 12:45:00,4.827401267674306,1867.51,1859.65,7.86,0.7597964376493639,29.75,tp
harmonic,2022-05-18 01:20:00,2022-05-19 12:35:00,-1.0572093023255815,1814.57,1837.84,23.27,1.1408680704721064,35.25,sl
harmonic,2022-05-31 00:35:00,2022-06-02 13:25:00,-1.0978659396446366,1848.73,1862.54,13.81,1.0284576393842961,60.833333333333336,sl
harmonic,2022-06-09 19:25:00,2022-06-10 14:45:00,-1.2019011406844107,1847.78,1854.45,6.67,1.0649175412134975,19.333333333333332,sl
harmonic,2022-06-30 14:35:00,2022-07-06 14:10:00,4.883779103328844,1809.14,1820.4,11.26,0.49147424511107735,143.58333333333334,tp
