s,entry,exit,r,px,sl,stop,mae,dur_h,reason
fvg,2022-02-07 01:35:00,2022-02-07 17:20:00,1.6875,1810.03,1805.77,4.26,0.32676056337262366,15.75,tp
fvg,2022-02-22 01:05:00,2022-02-22 07:20:00,1.5736060576261188,1905.72,1902.49,3.23,0.16470588234781883,6.25,tp
fib,2022-02-22 01:05:00,2022-02-22 07:20:00,1.5736,1905.72,1902.49,3.23,0.16470588234781883,6.25,tp
harmonic,2022-03-04 02:20:00,2022-03-04 11:00:00,1.7590000000000001,1937.15,1931.25,5.9,0.5477966101602404,8.666666666666666,tp
fvg,2022-03-04 14:35:00,2022-03-04 15:00:00,-1.1425113757382128,1958.7,1948.76,9.94,1.6209255533036206,0.4166666666666667,sl
harmonic,2022-03-21 07:30:00,2022-03-21 13:25:00,-1.3039504716981132,1924.79,1920.2,4.59,1.5102396513832228,5.916666666666667,sl
threevol,2022-03-23 19:35:00,2022-03-24 02:05:00,-1.4842,1943.64,1940.73,2.91,1.080756013708637,6.5,sl
fvg,2022-03-24 12:30:00,2022-03-24 13:25:00,1.5788855156204094,1945.14,1941.78,3.36,0.0,0.9166666666666666,tp
fvg,2022-03-24 13:25:00,2022-03-28 04:40:00,-1.1219629772464328,1953.35,1941.78,11.57,1.0191875540101984,87.25,sl
harmonic,2022-04-08 17:20:00,2022-04-11 08:20:00,1.735138902718311,1941.21,1935.87,5.34,0.24868913857211716,63.0,tp
harmonic,2022-05-04 07:00:00,2022-05-04 12:25:00,-1.3548008221591463,1867.51,1863.69,3.82,1.0162303664655599,5.416666666666667,sl
harmonic,2022-05-18 01:20:00,2022-05-18 03:15:00,1.4200813572775075,1814.57,1816.86,2.29,0.23711790391982893,1.9166666666666667,tp
harmonic,2022-05-19 05:55:00,2022-05-19 08:45:00,-1.2937781256114262,1814.02,1818.52,4.5,1.9651111110674586,2.8333333333333335,sl
harmonic,2022-05-31 00:35:00,2022-05-31 03:00:00,-1.3407333994053519,1848.73,1852.68,3.95,1.1513924050341424,2.4166666666666665,sl
