s,entry,exit,r,px,sl,stop,mae,dur_h,reason
fvg,2022-02-07 01:35:00,2022-02-07 05:40:00,-0.1804,1810.03,1805.77,4.26,0.26103286384365654,4.083333333333333,time
fib,2022-02-22 01:05:00,2022-02-22 01:15:00,-0.3533,1905.72,1902.49,3.23,0.0,0.16666666666666666,time
fvg,2022-02-22 01:05:00,2022-02-22 05:10:00,0.3228811861350431,1905.72,1902.49,3.23,0.16470588234781883,4.083333333333333,time
harmonic,2022-03-04 02:20:00,2022-03-04 06:25:00,-0.6876000000000001,1937.15,1931.25,5.9,0.4715254237208475,4.083333333333333,time
fvg,2022-03-04 14:35:00,2022-03-04 15:00:00,-1.1425004993009786,1958.7,1948.76,9.94,1.6209255533036206,0.4166666666666667,sl
harmonic,2022-03-21 07:30:00,2022-03-21 11:35:00,-0.2341153962340147,1924.79,1920.2,4.59,0.5254901960669903,4.083333333333333,time
threevol,2022-03-23 19:35:00,2022-03-23 23:40:00,0.40759999999999996,1943.64,1940.73,2.91,0.4938144329727643,4.083333333333333,time
fvg,2022-03-24 12:30:00,2022-03-24 13:25:00,1.578888888888889,1945.14,1941.78,3.36,0.0,0.9166666666666666,tp
fvg,2022-03-24 13:25:00,2022-03-24 17:30:00,0.7744630071599045,1953.35,1941.78,11.57,0.5109766637812195,4.083333333333333,time
harmonic,2022-04-08 17:20:00,2022-04-08 21:30:00,0.8456802583770691,1941.21,1935.87,5.34,0.13820224718843374,4.166666666666667,time
harmonic,2022-05-04 07:00:00,2022-05-04 11:15:00,-0.5912730184147318,1867.51,1863.69,3.82,0.4350785340200332,4.25,time
harmonic,2022-05-18 01:20:00,2022-05-18 03:15:00,1.4201147689519784,1814.57,1816.86,2.29,0.23711790391982893,1.9166666666666667,tp
harmonic,2022-05-19 05:55:00,2022-05-19 08:45:00,-1.2938256898947786,1814.02,1818.52,4.5,1.9651111110674586,2.8333333333333335,sl
harmonic,2022-05-31 00:35:00,2022-05-31 03:00:00,-1.3407422307150758,1848.73,1852.68,3.95,1.1513924050341424,2.4166666666666665,sl
harmonic,2022-06-09 19:25:00,2022-06-09 23:30:00,0.07533129459734965,1847.78,1850.76,2.98,0.14026845637117222,4.083333333333333,time
fvg,2022-06-23 22:25:00,2022-06-24 02:30:00,-0.632622853759621,1823.25,1828.19,4.94,0.4267206477646306,4.083333333333333,time
harmonic,2022-06-30 14:35:00,2022-06-30 15:55:00,-1.3052556528824608,1809.14,1813.46,4.32,1.2629629629337054,1.3333333333333333,sl
fvg,2022-07-06 17:25:00,2022-07-06 19:15:00,-1.3286991062562066,1738.23,1742.09,3.86,1.4554404144700503,1.8333333333333333,sl
fvg,2022-07-20 08:30:00,2022-07-20 09:25:00,-1.5350241545893721,1707.81,1710.14,2.33,1.1377682402945453,0.9166666666666666,sl
fvg,2022-07-21 00:00:00,2022-07-21 04:10:00,0.45482420278004904,1694.28,1697.99,3.71,0.29865229109705715,4.166666666666667,time
fvg,2022-08-26 14:00:00,2022-08-26 14:10:00,-1.135022385022385,1745.23,1754.68,9.45,1.1553439153316782,0.16666666666666666,sl
fib,2022-08-26 14:00:00,2022-08-26 14:10:00,-1.1350727546412442,1745.23,1754.68,9.45,1.1553439153316782,0.16666666666666666,sl
fvg,2022-08-26 14:35:00,2022-08-26 18:40:00,0.7027583367641005,1745.49,1754.68,9.19,0.11904243743070149,4.083333333333333,time
harmonic,2022-09-06 12:30:00,2022-09-06 14:00:00,1.629579936009908,1711.51,1714.87,3.36,0.2303571428503211,1.5,tp
threevol,2022-10-10 06:30:00,2022-10-10 07:10:00,-1.4259535902798528,1684.98,1687.87,2.89,1.2103806227954261,0.6666666666666666,sl
harmonic,2022-10-13 12:30:00,2022-10-13 16:35:00,-0.37209302325581395,1658.71,1678.65,19.94,0.49674022065950485,4.083333333333333,time
threevol,2022-10-14 15:15:00,2022-10-14 19:20:00,0.6089108910891089,1645.29,1649.93,4.64,0.7474137930874544,4.083333333333333,time
harmonic,2022-10-18 14:00:00,2022-10-18 18:05:00,0.16889205993272857,1653.4,1658.29,4.89,0.046625766870179046,4.083333333333333,time
fvg,2022-11-03 02:10:00,2022-11-03 06:15:00,0.8302503832396525,1638.0,1640.61,2.61,0.3823754789125708,4.083333333333333,time
threevol,2022-11-07 07:20:00,2022-11-07 08:10:00,-1.4174533038762804,1667.72,1670.64,2.92,1.1294520547558413,0.8333333333333334,sl
fib,2022-11-15 13:30:00,2022-11-15 13:40:00,-0.7117336581404792,1785.39,1772.72,12.67,0.6308602999160894,0.16666666666666666,time
fvg,2022-11-15 13:40:00,2022-11-15 14:30:00,-1.2778228258666127,1777.37,1772.72,4.65,1.396129032228032,0.8333333333333334,sl
fvg,2022-11-16 11:55:00,2022-11-16 12:30:00,-1.5949691991786445,1783.06,1780.88,2.18,1.0422018348145479,0.5833333333333334,sl
fvg,2022-11-16 12:30:00,2022-11-16 12:40:00,-2.1789254042775172,1781.98,1780.88,1.1,2.2390909088875306,0.16666666666666666,sl
harmonic,2022-12-30 01:00:00,2022-12-30 05:05:00,-0.23527017401037958,1815.88,1812.92,2.96,0.14020270269803065,4.083333333333333,time
harmonic,2023-01-12 13:30:00,2023-01-12 14:40:00,-1.1419828641370868,1893.36,1883.71,9.65,1.0367875647560831,1.1666666666666667,sl
harmonic,2023-01-12 15:15:00,2023-01-12 17:25:00,1.6595130004127114,1887.72,1883.71,4.01,0.5798004987386697,2.1666666666666665,tp
harmonic,2023-02-01 15:25:00,2023-02-01 17:00:00,-1.2511925301938496,1927.97,1922.41,5.56,1.027877697823225,1.5833333333333333,sl
threevol,2023-02-06 02:15:00,2023-02-06 03:00:00,-1.4967912804319037,1875.23,1872.49,2.74,1.096715328427167,0.75,sl
harmonic,2023-02-07 15:35:00,2023-02-07 17:45:00,1.7331963001027748,1872.79,1867.67,5.12,0.5357421874895242,2.1666666666666665,tp
threevol,2023-02-07 15:35:00,2023-02-07 17:45:00,1.733195449844881,1872.79,1867.67,5.12,0.5357421874895242,2.1666666666666665,tp
threevol,2023-02-08 07:25:00,2023-02-08 11:30:00,0.27803192030090473,1879.28,1875.15,4.13,0.18765133171455167,4.083333333333333,time
harmonic,2023-02-14 07:15:00,2023-02-14 11:20:00,-0.7021620529399879,1858.22,1855.25,2.97,0.27441077440155337,4.083333333333333,time
harmonic,2023-02-17 16:00:00,2023-02-17 20:15:00,0.31630888188015055,1836.73,1822.04,14.69,0.17372362151004322,4.25,time
harmonic,2023-02-28 21:00:00,2023-03-01 00:00:00,-1.6987829614604464,1826.65,1824.75,1.9,1.039473684155889,3.0,sl
