s,entry,exit,r,px,sl,stop,mae,dur_h,reason
fvg,2022-02-07 01:35:00,2022-02-07 09:40:00,0.0024,1810.03,1805.77,4.26,0.32676056337262366,8.083333333333334,time
fib,2022-02-22 01:05:00,2022-02-22 01:15:00,-0.3533,1905.72,1902.49,3.23,0.0,0.16666666666666666,time
fvg,2022-02-22 01:05:00,2022-02-22 08:30:00,-1.4280000000000002,1905.72,1902.49,3.23,1.2637770897441887,7.416666666666667,sl
harmonic,2022-03-04 02:20:00,2022-03-04 10:25:00,0.7929999999999999,1937.15,1931.25,5.9,0.5477966101602404,8.083333333333334,time
fvg,2022-03-04 14:35:00,2022-03-04 15:00:00,-1.1424368469108248,1958.7,1948.76,9.94,1.6209255533036206,0.4166666666666667,sl
harmonic,2022-03-21 07:30:00,2022-03-21 13:25:00,-1.303899196348844,1924.79,1920.2,4.59,1.5102396513832228,5.916666666666667,sl
threevol,2022-03-23 19:35:00,2022-03-24 02:05:00,-1.4842,1943.64,1940.73,2.91,1.080756013708637,6.5,sl
fvg,2022-03-24 12:30:00,2022-03-24 13:30:00,2.5783478707029244,1945.14,1941.78,3.36,0.0,1.0,tp
fvg,2022-03-24 13:30:00,2022-03-24 21:35:00,0.00820328131252501,1956.13,1941.78,14.35,0.6057142857100652,8.083333333333334,time
harmonic,2022-04-08 17:20:00,2022-04-09 01:30:00,0.8456976276638519,1941.21,1935.87,5.34,0.13820224718843374,8.166666666666666,time
harmonic,2022-05-04 07:00:00,2022-05-04 12:25:00,-1.3547647527910687,1867.51,1863.69,3.82,1.0162303664655599,5.416666666666667,sl
harmonic,2022-05-18 01:20:00,2022-05-18 03:20:00,2.420675020210186,1814.57,1816.86,2.29,0.23711790391982893,2.0,tp
harmonic,2022-05-19 05:55:00,2022-05-19 08:45:00,-1.2938042620363062,1814.02,1818.52,4.5,1.9651111110674586,2.8333333333333335,sl
harmonic,2022-05-31 00:35:00,2022-05-31 03:00:00,-1.3408295852073964,1848.73,1852.68,3.95,1.1513924050341424,2.4166666666666665,sl
harmonic,2022-06-09 19:25:00,2022-06-10 03:30:00,0.4630192502532928,1847.78,1850.76,2.98,0.14026845637117222,8.083333333333334,time
fvg,2022-06-23 22:25:00,2022-06-24 06:30:00,-0.23967190157047116,1823.25,1828.19,4.94,0.7566801619280138,8.083333333333334,time
harmonic,2022-06-30 14:35:00,2022-06-30 15:55:00,-1.305264219443324,1809.14,1813.46,4.32,1.2629629629337054,1.3333333333333333,sl
fvg,2022-07-06 17:25:00,2022-07-06 19:15:00,-1.3286874561315551,1738.23,1742.09,3.86,1.4554404144700503,1.8333333333333333,sl
fvg,2022-07-20 08:30:00,2022-07-20 09:25:00,-1.5350609756097562,1707.81,1710.14,2.33,1.1377682402945453,0.9166666666666666,sl
fvg,2022-07-21 00:00:00,2022-07-21 08:10:00,1.243368768706781,1694.28,1697.99,3.71,0.29865229109705715,8.166666666666666,time
fib,2022-08-26 14:00:00,2022-08-26 14:10:00,-1.1350727546412442,1745.23,1754.68,9.45,1.1553439153316782,0.16666666666666666,sl
fvg,2022-08-26 14:00:00,2022-08-26 14:10:00,-1.13506625891947,1745.23,1754.68,9.45,1.1553439153316782,0.16666666666666666,sl
