s,entry,exit,r,px,sl,stop,mae,dur_h,reason
fvg,2022-02-07 01:35:00,2022-02-07 03:40:00,-0.23920000000000002,1810.03,1805.77,4.26,0.26103286384365654,2.0833333333333335,time
fib,2022-02-22 01:05:00,2022-02-22 01:15:00,-0.3533,1905.72,1902.49,3.23,0.0,0.16666666666666666,time
fvg,2022-02-22 01:05:00,2022-02-22 01:40:00,1.0722734562951082,1905.72,1902.49,3.23,0.16470588234781883,0.5833333333333334,tp
fvg,2022-02-22 01:40:00,2022-02-22 03:45:00,-0.21699890905484479,1909.58,1902.49,7.09,0.46431593793420095,2.0833333333333335,time
harmonic,2022-03-04 02:20:00,2022-03-04 04:25:00,0.0787,1937.15,1931.25,5.9,0.2511864406737423,2.0833333333333335,time
fvg,2022-03-04 14:35:00,2022-03-04 15:00:00,-1.1424311698638305,1958.7,1948.76,9.94,1.6209255533036206,0.4166666666666667,sl
harmonic,2022-03-21 07:30:00,2022-03-21 09:35:00,-0.31574740207833735,1924.79,1920.2,4.59,0.5037037036927076,2.0833333333333335,time
threevol,2022-03-23 19:35:00,2022-03-23 19:55:00,1.0162,1943.64,1940.73,2.91,0.05738831614928002,0.3333333333333333,tp
fvg,2022-03-24 12:30:00,2022-03-24 13:20:00,1.0791272873516993,1945.14,1941.78,3.36,0.0,0.8333333333333334,tp
fvg,2022-03-24 13:35:00,2022-03-24 15:40:00,0.44718519992042965,1955.59,1941.78,13.81,0.5902968863099772,2.0833333333333335,time
harmonic,2022-04-08 17:20:00,2022-04-08 19:30:00,0.012830793905372895,1941.21,1935.87,5.34,0.13820224718843374,2.1666666666666665,time
harmonic,2022-05-04 07:00:00,2022-05-04 09:15:00,-0.2589697334135097,1867.51,1863.69,3.82,0.06989528795629928,2.25,time
harmonic,2022-05-18 01:20:00,2022-05-18 01:55:00,0.9220257234726689,1814.57,1816.86,2.29,0.23711790391982893,0.5833333333333334,tp
harmonic,2022-05-18 02:10:00,2022-05-18 04:15:00,0.17235885691526434,1811.26,1816.86,5.6,0.42107142856390006,2.0833333333333335,time
harmonic,2022-05-19 05:55:00,2022-05-19 08:00:00,-0.05387138455421926,1814.02,1818.52,4.5,0.39066666665799366,2.0833333333333335,time
harmonic,2022-05-31 00:35:00,2022-05-31 02:40:00,-0.7652909000497266,1848.73,1852.68,3.95,0.4475949366975366,2.0833333333333335,time
harmonic,2022-06-09 19:25:00,2022-06-09 21:30:00,-0.45349769492884345,1847.78,1850.76,2.98,0.14026845637117222,2.0833333333333335,time
fvg,2022-06-23 22:25:00,2022-06-24 00:30:00,-0.1657589860382216,1823.25,1828.19,4.94,0.4267206477646306,2.0833333333333335,time
harmonic,2022-06-30 14:35:00,2022-06-30 15:55:00,-1.305245142454445,1809.14,1813.46,4.32,1.2629629629337054,1.3333333333333333,sl
fvg,2022-07-06 17:25:00,2022-07-06 19:15:00,-1.3287046220987901,1738.23,1742.09,3.86,1.4554404144700503,1.8333333333333333,sl
fvg,2022-07-20 08:30:00,2022-07-20 09:25:00,-1.5350824286288702,1707.81,1710.14,2.33,1.1377682402945453,0.9166666666666666,sl
fvg,2022-07-21 00:00:00,2022-07-21 02:10:00,-0.025216947422154162,1694.28,1697.99,3.71,0.29865229109705715,2.1666666666666665,time
fib,2022-08-26 14:00:00,2022-08-26 14:10:00,-1.1350727546412442,1745.23,1754.68,9.45,1.1553439153316782,0.16666666666666666,sl
fvg,2022-08-26 14:00:00,2022-08-26 14:10:00,-1.135096497498213,1745.23,1754.68,9.45,1.1553439153316782,0.16666666666666666,sl
fvg,2022-08-26 14:35:00,2022-08-26 16:40:00,1.0619770684846608,1745.49,1754.68,9.19,0.11904243743070149,2.0833333333333335,time
harmonic,2022-09-06 12:30:00,2022-09-06 13:05:00,1.1293349653202773,1711.51,1714.87,3.36,0.2303571428503211,0.5833333333333334,tp
harmonic,2022-09-06 13:05:00,2022-09-06 15:10:00,0.22685091789388742,1707.41,1714.87,7.46,0.5747989276062374,2.0833333333333335,time
threevol,2022-10-10 06:30:00,2022-10-10 07:10:00,-1.4259552563848745,1684.98,1687.87,2.89,1.2103806227954261,0.6666666666666666,sl
harmonic,2022-10-13 12:30:00,2022-10-13 14:35:00,0.46623729495823685,1658.71,1678.65,19.94,0.0,2.0833333333333335,time
threevol,2022-10-14 15:15:00,2022-10-14 17:20:00,0.5392649126330589,1645.29,1649.93,4.64,0.7474137930874544,2.0833333333333335,time
harmonic,2022-10-18 14:00:00,2022-10-18 15:35:00,1.2528298106781528,1653.4,1658.29,4.89,0.046625766870179046,1.5833333333333333,tp
fvg,2022-11-03 02:10:00,2022-11-03 04:15:00,-0.5301512673753066,1638.0,1640.61,2.61,0.3823754789125708,2.0833333333333335,time
threevol,2022-11-07 07:20:00,2022-11-07 08:10:00,-1.4174408151033864,1667.72,1670.64,2.92,1.1294520547558413,0.8333333333333334,sl
fib,2022-11-15 13:30:00,2022-11-15 13:40:00,-0.7117336581404792,1785.39,1772.72,12.67,0.6308602999160894,0.16666666666666666,time
fvg,2022-11-15 13:40:00,2022-11-15 14:30:00,-1.2778462803123716,1777.37,1772.72,4.65,1.396129032228032,0.8333333333333334,sl
fvg,2022-11-16 11:55:00,2022-11-16 12:30:00,-1.5950249791840134,1783.06,1780.88,2.18,1.0422018348145479,0.5833333333333334,sl
fvg,2022-11-16 12:30:00,2022-11-16 12:40:00,-2.1789529349550505,1781.98,1780.88,1.1,2.2390909088875306,0.16666666666666666,sl
harmonic,2022-12-30 01:00:00,2022-12-30 03:05:00,0.4407400079145231,1815.88,1812.92,2.96,0.0861486486457751,2.0833333333333335,time
harmonic,2023-01-12 13:30:00,2023-01-12 14:40:00,-1.1420269870974096,1893.36,1883.71,9.65,1.0367875647560831,1.1666666666666667,sl
harmonic,2023-01-12 15:15:00,2023-01-12 16:40:00,1.1585135000498157,1887.72,1883.71,4.01,0.5798004987386697,1.4166666666666667,tp
harmonic,2023-02-01 15:25:00,2023-02-01 17:00:00,-1.2512557864670542,1927.97,1922.41,5.56,1.027877697823225,1.5833333333333333,sl
threevol,2023-02-06 02:15:00,2023-02-06 03:00:00,-1.4968081872530146,1875.23,1872.49,2.74,1.096715328427167,0.75,sl
harmonic,2023-02-07 15:35:00,2023-02-07 17:40:00,0.6702573309395572,1872.79,1867.67,5.12,0.5357421874895242,2.0833333333333335,time
threevol,2023-02-07 15:35:00,2023-02-07 17:40:00,0.6702324624562847,1872.79,1867.67,5.12,0.5357421874895242,2.0833333333333335,time
threevol,2023-02-08 07:25:00,2023-02-08 07:55:00,1.1698171043220598,1879.28,1875.15,4.13,0.10726392251555865,0.5,tp
harmonic,2023-02-14 07:15:00,2023-02-14 09:20:00,0.34548697116813626,1858.22,1855.25,2.97,0.16329966329420786,2.0833333333333335,time
harmonic,2023-02-17 16:00:00,2023-02-17 18:15:00,0.27409162717219593,1836.73,1822.04,14.69,0.17372362151004322,2.25,time
harmonic,2023-02-28 21:00:00,2023-02-28 23:05:00,-0.5582906656163844,1826.65,1824.75,1.9,0.7021052631209734,2.0833333333333335,time
fvg,2023-03-17 17:25:00,2023-03-17 18:05:00,1.2166720726565035,1968.16,1963.09,5.07,0.0,0.6666666666666666,tp
fvg,2023-03-17 18:05:00,2023-03-17 18:50:00,1.3177011003097958,1972.96,1965.05,7.91,0.0,0.75,tp
threevol,2023-03-23 16:25:00,2023-03-23 17:35:00,1.126956873043127,1992.28,1988.4,3.88,0.4007731958659759,1.1666666666666667,tp
threevol,2023-03-23 18:05:00,2023-03-23 18:55:00,-1.3613302706481574,2001.47,1997.46,4.01,2.2456359101684655,0.8333333333333334,sl
threevol,2023-03-30 14:20:00,2023-03-30 16:20:00,1.26020046572846,1970.58,1964.6,5.98,0.4155518394579172,2.0,tp
harmonic,2023-04-04 13:15:00,2023-04-04 14:00:00,1.3117140310921873,1985.08,1977.43,7.65,0.0,0.75,tp
threevol,2023-04-04 14:10:00,2023-04-04 16:15:00,0.4250574942505749,2016.0,2002.45,13.55,0.03948339483366299,2.0833333333333335,time
harmonic,2023-04-04 14:15:00,2023-04-04 16:20:00,-0.011336982017200938,2020.0,2002.45,17.55,0.2584045584030907,2.0833333333333335,time
fvg,2023-04-11 14:45:00,2023-04-11 16:50:00,0.24765419082762255,2002.11,1994.5,7.61,0.08751642575442685,2.0833333333333335,time
harmonic,2023-05-30 23:45:00,2023-05-31 01:30:00,-2.075953079178886,1958.38,1957.06,1.32,1.162878787790753,1.75,sl
harmonic,2023-06-01 12:00:00,2023-06-01 12:15:00,-1.296666001197844,1966.16,1961.36,4.8,1.0949999999772053,0.25,sl
fvg,2023-06-12 12:35:00,2023-06-12 13:05:00,-1.8040597391670172,1962.86,1961.09,1.77,1.1779661016282557,0.5,sl
harmonic,2023-07-05 12:40:00,2023-07-05 13:15:00,1.0095064724919094,1929.36,1926.49,2.87,0.47909407663835907,0.5833333333333334,tp
harmonic,2023-07-25 15:00:00,2023-07-25 17:05:00,-0.7395875050060073,1963.09,1959.09,4.0,0.41374999998964945,2.0833333333333335,time
harmonic,2023-08-15 05:40:00,2023-08-15 07:45:00,-0.34062941295138194,1904.73,1909.1,4.37,0.5274599542213542,2.0833333333333335,time
harmonic,2023-08-29 12:15:00,2023-08-29 13:55:00,-1.233906882591093,1915.75,1921.71,5.96,1.0192953019963282,1.6666666666666667,sl
harmonic,2023-09-05 05:30:00,2023-09-05 06:15:00,0.6278950604632098,1937.86,1939.46,1.6,0.0,0.75,tp
harmonic,2023-09-05 06:15:00,2023-09-05 08:20:00,0.1914460285132383,1935.92,1939.46,3.54,0.623728813541662,2.0833333333333335,time
