s,entry,exit,r,px,sl,stop,mae,dur_h,reason
fvg,2022-02-07 01:35:00,2022-02-20 23:00:00,4.9864999999999995,1809.88,1790.87,19.01,0.06533403471823544,333.4166666666667,tp
fvg,2022-02-22 01:05:00,2022-02-23 09:30:00,-1.0163825126202495,1905.57,1890.39,15.18,1.0554677206781546,32.416666666666664,sl
fib,2022-02-22 01:05:00,2022-02-23 09:30:00,-1.0164,1905.57,1890.39,15.18,1.0554677206781546,32.416666666666664,sl
harmonic,2022-03-04 02:20:00,2022-03-08 06:55:00,4.986000000000001,1937.0,1920.36,16.64,0.18521634615273955,100.58333333333333,tp
fib,2022-03-04 15:00:00,2022-03-08 14:35:00,4.983228935138412,1946.23,1931.15,15.08,0.0,95.58333333333333,tp
fvg,2022-03-04 14:35:00,2022-03-15 05:15:00,-1.0092378752886835,1958.55,1931.41,27.14,1.0044952100184044,254.66666666666666,sl
harmonic,2022-03-21 07:30:00,2022-03-22 14:00:00,-1.0302885989141823,1924.64,1916.4,8.24,1.1373786407629045,30.5,sl
fvg,2022-03-24 12:30:00,2022-03-28 05:50:00,-1.0262467191601048,1944.99,1935.43,9.56,1.2564853556353865,89.33333333333333,sl
harmonic,2022-04-08 17:20:00,2022-04-22 15:10:00,-1.017516843118383,1941.06,1926.73,14.33,1.0189811584018118,333.8333333333333,sl
harmonic,2022-05-04 07:00:00,2022-05-05 12:30:00,4.9704423918327665,1867.36,1859.65,7.71,0.7551232165920073,29.5,tp
harmonic,2022-05-18 01:20:00,2022-05-19 12:35:00,-1.0105594664690627,1814.72,1837.84,23.12,1.141782006915473,35.25,sl
harmonic,2022-05-31 00:35:00,2022-06-02 13:25:00,-1.018059324412838,1848.88,1862.54,13.66,1.028770131764056,60.833333333333336,sl
harmonic,2022-06-09 19:25:00,2022-06-10 14:45:00,-1.0378143316316883,1847.93,1854.45,6.52,1.0664110429284952,19.333333333333332,sl
harmonic,2022-06-30 14:35:00,2022-07-06 14:10:00,4.97640427970959,1809.29,1820.4,11.11,0.48460846084172404,143.58333333333334,tp
fvg,2022-06-23 22:25:00,2022-07-14 13:45:00,4.989883115607504,1823.4,1848.24,24.84,0.7064412238296843,495.3333333333333,tp
fvg,2022-07-20 08:30:00,2022-07-21 15:00:00,-1.0347988774555659,1707.96,1714.83,6.87,1.2544395924125902,30.5,sl
harmonic,2022-09-06 12:30:00,2022-09-08 07:00:00,-1.0222040222040223,1711.66,1722.42,10.76,1.0286245353064027,42.5,sl
fib,2022-08-26 14:00:00,2022-09-15 14:50:00,4.984988452655888,1745.38,1760.65,15.27,0.7051735428899335,480.8333333333333,tp
fvg,2022-08-26 14:00:00,2022-09-15 14:50:00,4.985064750921637,1745.38,1760.65,15.27,0.7051735428899335,480.8333333333333,tp
threevol,2022-10-10 06:30:00,2022-10-10 07:10:00,-1.0868,1685.13,1687.87,2.74,1.2218978101742843,0.6666666666666666,sl
threevol,2022-10-14 15:15:00,2022-10-16 22:00:00,-0.05247194419168942,1645.44,1645.44,4.49,0.7389755010972251,54.75,be
fvg,2022-11-03 02:15:00,2022-11-04 14:15:00,-1.007203313524221,1638.76,1671.38,32.62,1.0453096259931225,36.0,sl
harmonic,2022-10-13 12:30:00,2022-11-04 18:40:00,-1.011951824951733,1658.86,1678.65,19.79,1.0327438099998398,534.1666666666666,sl
threevol,2022-11-07 07:20:00,2022-11-07 08:10:00,-1.0854744082540968,1667.87,1670.64,2.77,1.1364620938218382,0.8333333333333334,sl
fib,2022-11-15 13:30:00,2022-11-17 02:25:00,-1.0129239230064162,1785.24,1766.55,18.69,1.0012306045960322,36.916666666666664,sl
