s,entry,exit,r,px,sl,stop,mae,dur_h,reason
fvg,2022-02-07 01:35:00,2022-02-07 16:30:00,1.9381,1809.88,1805.77,4.11,0.30218978101459126,14.916666666666666,tp
fvg,2022-02-22 01:05:00,2022-02-22 07:10:00,1.9223072395526781,1905.57,1902.49,3.08,0.12402597402189346,6.083333333333333,tp
fib,2022-02-22 01:05:00,2022-02-22 07:10:00,1.9223,1905.57,1902.49,3.08,0.12402597402189346,6.083333333333333,tp
harmonic,2022-03-04 02:20:00,2022-03-04 11:00:00,1.9546000000000001,1937.0,1931.25,5.75,0.5359999999906969,8.666666666666666,tp
fvg,2022-03-04 14:35:00,2022-03-04 15:00:00,-1.0256977863330123,1958.55,1948.76,9.79,1.6304392236809955,0.4166666666666667,sl
harmonic,2022-03-21 07:30:00,2022-03-21 13:25:00,-1.0563021088769005,1924.64,1920.2,4.44,1.527477477443109,5.916666666666667,sl
threevol,2022-03-23 19:35:00,2022-03-24 02:05:00,-1.0909,1943.49,1940.73,2.76,1.085144927496958,6.5,sl
fvg,2022-03-24 12:30:00,2022-03-24 13:25:00,1.9217154526889042,1944.99,1941.78,3.21,0.0,0.9166666666666666,tp
fvg,2022-03-24 13:25:00,2022-03-28 04:40:00,-1.0220398816906784,1953.2,1941.78,11.42,1.0194395796758413,87.25,sl
harmonic,2022-04-08 17:20:00,2022-04-11 08:20:00,1.951625693893735,1941.06,1935.87,5.19,0.2269749518260474,63.0,tp
harmonic,2022-05-04 07:00:00,2022-05-04 12:25:00,-1.0672824501701508,1867.36,1863.69,3.67,1.0168937329423111,5.416666666666667,sl
harmonic,2022-05-18 01:20:00,2022-05-18 02:05:00,1.8811793611793612,1814.72,1816.86,2.14,0.18364485980451617,0.75,tp
harmonic,2022-05-18 02:05:00,2022-05-18 08:15:00,-1.0500675284584218,1811.98,1816.86,4.88,1.0487704917817748,6.166666666666667,sl
harmonic,2022-05-19 05:55:00,2022-05-19 08:45:00,-1.0561567709856683,1814.17,1818.52,4.35,1.9983908045517575,2.8333333333333335,sl
harmonic,2022-05-31 00:35:00,2022-05-31 03:00:00,-1.0648339737905212,1848.88,1852.68,3.8,1.157368421022151,2.4166666666666665,sl
harmonic,2022-06-09 19:25:00,2022-06-10 09:30:00,1.9166417687481325,1847.93,1850.76,2.83,0.07208480565114572,14.083333333333334,tp
fvg,2022-06-23 22:25:00,2022-06-24 07:50:00,-1.0510892616155776,1823.4,1828.19,4.79,1.6206680584212636,9.416666666666666,sl
harmonic,2022-06-30 14:35:00,2022-06-30 15:55:00,-1.0585361086680347,1809.29,1813.46,4.17,1.2724220623196159,1.3333333333333333,sl
fvg,2022-07-06 17:25:00,2022-07-06 19:15:00,-1.0647832440331222,1738.38,1742.09,3.71,1.4738544473995854,1.8333333333333333,sl
fvg,2022-07-20 08:30:00,2022-07-20 09:25:00,-1.1096011816838998,1707.96,1710.14,2.18,1.1472477063693813,0.9166666666666666,sl
