s,entry,exit,r,px,sl,stop,mae,dur_h,reason
fvg,2022-02-07 01:35:00,2022-02-07 05:40:00,0.1107,1809.88,1805.77,4.11,0.23406326033499028,4.083333333333333,time
fib,2022-02-22 01:05:00,2022-02-22 01:15:00,0.0467,1905.57,1902.49,3.08,0.0,0.16666666666666666,time
fvg,2022-02-22 01:05:00,2022-02-22 05:10:00,0.7560683248426731,1905.57,1902.49,3.08,0.12402597402189346,4.083333333333333,time
harmonic,2022-03-04 02:20:00,2022-03-04 06:25:00,-0.47869999999999996,1937.0,1931.25,5.75,0.4577391304268327,4.083333333333333,time
fvg,2022-03-04 14:35:00,2022-03-04 15:00:00,-1.025676613462873,1958.55,1948.76,9.79,1.6304392236809955,0.4166666666666667,sl
harmonic,2022-03-21 07:30:00,2022-03-21 11:35:00,0.0502411575562701,1924.64,1920.2,4.44,0.5094594594480236,4.083333333333333,time
threevol,2022-03-23 19:35:00,2022-03-23 23:45:00,1.0043,1943.49,1940.73,2.76,0.46630434780920443,4.166666666666667,time
fvg,2022-03-24 12:30:00,2022-03-24 13:25:00,1.9216668336171492,1944.99,1941.78,3.21,0.0,0.9166666666666666,tp
fvg,2022-03-24 13:25:00,2022-03-24 17:30:00,0.9002457002457002,1953.2,1941.78,11.42,0.5045534150568729,4.083333333333333,time
harmonic,2022-04-08 17:20:00,2022-04-08 21:30:00,1.1227277292357136,1941.06,1935.87,5.19,0.11329479768567166,4.166666666666667,time
harmonic,2022-05-04 07:00:00,2022-05-04 11:15:00,-0.27222167047373125,1867.36,1863.69,3.67,0.4119891008061975,4.25,time
harmonic,2022-05-18 01:20:00,2022-05-18 02:05:00,1.881198964349731,1814.72,1816.86,2.14,0.18364485980451617,0.75,tp
harmonic,2022-05-18 02:05:00,2022-05-18 06:15:00,-0.014760508308895406,1811.98,1816.86,4.88,0.6163934426103277,4.166666666666667,time
harmonic,2022-05-19 05:55:00,2022-05-19 08:45:00,-1.0562127285169616,1814.17,1818.52,4.35,1.9983908045517575,2.8333333333333335,sl
harmonic,2022-05-31 00:35:00,2022-05-31 03:00:00,-1.0648157296709813,1848.88,1852.68,3.8,1.157368421022151,2.4166666666666665,sl
harmonic,2022-06-09 19:25:00,2022-06-09 23:35:00,0.49465694597023874,1847.93,1850.76,2.83,0.052296819786106424,4.166666666666667,time
fvg,2022-06-23 22:25:00,2022-06-24 02:30:00,-0.3951495081328528,1823.4,1828.19,4.79,0.40876826721481824,4.083333333333333,time
harmonic,2022-06-30 14:35:00,2022-06-30 15:55:00,-1.0585312531054358,1809.29,1813.46,4.17,1.2724220623196159,1.3333333333333333,sl
fvg,2022-07-06 17:25:00,2022-07-06 19:15:00,-1.064834734989243,1738.38,1742.09,3.71,1.4738544473995854,1.8333333333333333,sl
fvg,2022-07-20 08:30:00,2022-07-20 09:25:00,-1.1096174755362262,1707.96,1710.14,2.18,1.1472477063693813,0.9166666666666666,sl
fvg,2022-08-26 14:00:00,2022-08-26 14:10:00,-1.0258870564717641,1745.38,1754.68,9.3,1.15784946235312,0.16666666666666666,sl
fib,2022-08-26 14:00:00,2022-08-26 14:10:00,-1.0258870564717641,1745.38,1754.68,9.3,1.15784946235312,0.16666666666666666,sl
fvg,2022-08-26 14:35:00,2022-08-26 18:40:00,0.8446778428600283,1745.64,1754.68,9.04,0.10442477875990239,4.083333333333333,time
harmonic,2022-09-06 12:30:00,2022-09-06 14:00:00,1.9255725190839694,1711.66,1714.87,3.21,0.1943925233584375,1.5,tp
threevol,2022-10-10 06:30:00,2022-10-10 07:10:00,-1.0867326732673268,1685.13,1687.87,2.74,1.2218978101742843,0.6666666666666666,sl
harmonic,2022-10-13 12:30:00,2022-10-13 16:35:00,-0.31789515175404015,1658.86,1678.65,19.79,0.492925720058163,4.083333333333333,time
threevol,2022-10-14 15:15:00,2022-10-14 19:20:00,0.877389650685617,1645.44,1649.93,4.49,0.7389755010972251,4.083333333333333,time
harmonic,2022-10-18 14:00:00,2022-10-18 18:05:00,0.4105377619612495,1653.55,1658.29,4.74,0.016455696202179106,4.083333333333333,time
fvg,2022-11-03 02:10:00,2022-11-03 06:15:00,1.3320648908471862,1638.15,1640.61,2.46,0.344715447140441,4.083333333333333,time
threevol,2022-11-07 07:20:00,2022-11-07 08:10:00,-1.085532843818218,1667.87,1670.64,2.77,1.1364620938218382,0.8333333333333334,sl
fib,2022-11-15 13:30:00,2022-11-15 13:40:00,-0.6242173298323571,1785.24,1772.72,12.52,0.6264376996754955,0.16666666666666666,time
fvg,2022-11-15 13:40:00,2022-11-15 14:30:00,-1.0538590769838918,1777.22,1772.72,4.5,1.4093333333020366,0.8333333333333334,sl
fvg,2022-11-16 11:55:00,2022-11-16 12:30:00,-1.1195565321614063,1782.91,1780.88,2.03,1.0453201969928765,0.5833333333333334,sl
fvg,2022-11-16 12:30:00,2022-11-16 12:40:00,-1.2553535353535354,1781.83,1780.88,0.95,2.4347368418490825,0.16666666666666666,sl
harmonic,2022-12-30 01:00:00,2022-12-30 05:05:00,0.19306881953332677,1815.72,1812.92,2.8,0.091071428568215,4.083333333333333,time
harmonic,2023-01-12 13:30:00,2023-01-12 14:40:00,-1.0261373685762014,1893.21,1883.71,9.5,1.0373684210417138,1.1666666666666667,sl
harmonic,2023-01-12 15:15:00,2023-01-12 17:15:00,1.938244638602065,1887.57,1883.71,3.86,0.5634715025760642,2.0,tp
harmonic,2023-02-01 15:25:00,2023-02-01 17:00:00,-1.0462647316645564,1927.82,1922.41,5.41,1.0286506469310466,1.5833333333333333,sl
threevol,2023-02-06 02:15:00,2023-02-06 03:00:00,-1.0954960377169225,1875.08,1872.49,2.59,1.102316602274049,0.75,sl
harmonic,2023-02-07 15:35:00,2023-02-07 17:45:00,1.9501968503937008,1872.64,1867.67,4.97,0.5217303822832801,2.1666666666666665,tp
threevol,2023-02-07 15:35:00,2023-02-07 17:45:00,1.9502028397565923,1872.64,1867.67,4.97,0.5217303822832801,2.1666666666666665,tp
threevol,2023-02-08 07:25:00,2023-02-08 11:30:00,0.6114206128133705,1879.12,1875.15,3.97,0.15491183878697493,4.083333333333333,time
harmonic,2023-02-14 07:15:00,2023-02-14 09:50:00,1.9160069511488707,1858.07,1855.25,2.82,0.11879432623693509,2.5833333333333335,tp
harmonic,2023-02-17 16:00:00,2023-02-17 20:15:00,0.4050393104101544,1836.58,1822.04,14.54,0.16519944979252382,4.25,time
harmonic,2023-02-28 21:00:00,2023-03-01 00:00:00,-1.1399188602698367,1826.5,1824.75,1.75,1.042857142797577,3.0,sl
fvg,2023-03-17 17:25:00,2023-03-17 18:15:00,1.9466039279869067,1968.01,1963.09,4.92,0.0,0.8333333333333334,tp
fvg,2023-03-17 18:30:00,2023-03-17 22:35:00,0.6480032109171182,1978.7,1965.05,13.65,0.37743589743313555,4.083333333333333,time
threevol,2023-03-23 16:25:00,2023-03-23 18:00:00,1.929101156926728,1992.12,1988.4,3.72,0.37499999998991446,1.5833333333333333,tp
threevol,2023-03-23 18:05:00,2023-03-23 18:55:00,-1.0657677757299446,2001.32,1997.46,3.86,2.2940414507177755,0.8333333333333334,sl
