s,entry,exit,r,px,sl,stop,mae,dur_h,reason
fvg,2022-02-07 01:35:00,2022-02-07 09:40:00,0.3002,1809.88,1805.77,4.11,0.30218978101459126,8.083333333333334,time
fib,2022-02-22 01:05:00,2022-02-22 01:15:00,0.0467,1905.57,1902.49,3.08,0.0,0.16666666666666666,time
fvg,2022-02-22 01:05:00,2022-02-22 08:30:00,-1.0808574277168495,1905.57,1902.49,3.08,1.276623376581933,7.416666666666667,sl
harmonic,2022-03-04 02:20:00,2022-03-04 10:25:00,1.0412000000000001,1937.0,1931.25,5.75,0.5359999999906969,8.083333333333334,time
fvg,2022-03-04 14:35:00,2022-03-04 15:00:00,-1.0257004636162064,1958.55,1948.76,9.79,1.6304392236809955,0.4166666666666667,sl
harmonic,2022-03-21 07:30:00,2022-03-21 13:25:00,-1.0563143309580363,1924.64,1920.2,4.44,1.527477477443109,5.916666666666667,sl
threevol,2022-03-23 19:35:00,2022-03-24 02:05:00,-1.0909,1943.49,1940.73,2.76,1.085144927496958,6.5,sl
fvg,2022-03-24 12:30:00,2022-03-24 13:30:00,2.9216904276985747,1944.99,1941.78,3.21,0.0,1.0,tp
fvg,2022-03-24 13:30:00,2022-03-24 21:35:00,0.10111803700405661,1955.98,1941.78,14.2,0.6015492957704057,8.083333333333334,time
harmonic,2022-04-08 17:20:00,2022-04-09 01:30:00,1.1227368210463138,1941.06,1935.87,5.19,0.11329479768567166,8.166666666666666,time
harmonic,2022-05-04 07:00:00,2022-05-04 12:25:00,-1.0672601384767557,1867.36,1863.69,3.67,1.0168937329423111,5.416666666666667,sl
harmonic,2022-05-18 01:20:00,2022-05-18 03:20:00,2.8812237552489504,1814.72,1816.86,2.14,0.18364485980451617,2.0,tp
harmonic,2022-05-19 05:55:00,2022-05-19 08:45:00,-1.0561710398445092,1814.17,1818.52,4.35,1.9983908045517575,2.8333333333333335,sl
harmonic,2022-05-31 00:35:00,2022-05-31 03:00:00,-1.0648266378548277,1848.88,1852.68,3.8,1.157368421022151,2.4166666666666665,sl
harmonic,2022-06-09 19:25:00,2022-06-10 03:35:00,0.8608160428869254,1847.93,1850.76,2.83,0.07208480565114572,8.166666666666666,time
fvg,2022-06-23 22:25:00,2022-06-24 06:30:00,0.009884353069091628,1823.4,1828.19,4.79,0.7490605427818495,8.083333333333334,time
harmonic,2022-06-30 14:35:00,2022-06-30 15:55:00,-1.0585629921259843,1809.29,1813.46,4.17,1.2724220623196159,1.3333333333333333,sl
fvg,2022-07-06 17:25:00,2022-07-06 19:15:00,-1.0648349476181063,1738.38,1742.09,3.71,1.4738544473995854,1.8333333333333333,sl
fvg,2022-07-20 08:30:00,2022-07-20 09:25:00,-1.1095904095904097,1707.96,1710.14,2.18,1.1472477063693813,0.9166666666666666,sl
fvg,2022-08-26 14:00:00,2022-08-26 14:10:00,-1.0259622184058996,1745.38,1754.68,9.3,1.15784946235312,0.16666666666666666,sl
fib,2022-08-26 14:00:00,2022-08-26 14:10:00,-1.0258870564717641,1745.38,1754.68,9.3,1.15784946235312,0.16666666666666666,sl
fvg,2022-08-26 14:35:00,2022-08-26 22:40:00,0.8917125944070219,1745.64,1754.68,9.04,0.10442477875990239,8.083333333333334,time
harmonic,2022-09-06 12:30:00,2022-09-06 15:25:00,2.9255869478710705,1711.66,1714.87,3.21,0.1943925233584375,2.9166666666666665,tp
threevol,2022-10-10 06:30:00,2022-10-10 07:10:00,-1.086745526235972,1685.13,1687.87,2.74,1.2218978101742843,0.6666666666666666,sl
harmonic,2022-10-13 12:30:00,2022-10-13 20:35:00,-0.3988981248791804,1658.86,1678.65,19.79,0.6866093986827455,8.083333333333334,time
threevol,2022-10-14 15:15:00,2022-10-14 23:20:00,0.3533680874987223,1645.44,1649.93,4.49,0.7389755010972251,8.083333333333334,time
harmonic,2022-10-18 14:00:00,2022-10-18 22:05:00,0.3198447355652596,1653.55,1658.29,4.74,0.016455696202179106,8.083333333333334,time
fvg,2022-11-03 02:10:00,2022-11-03 07:10:00,2.9004552352048556,1638.15,1640.61,2.46,0.344715447140441,5.0,tp
threevol,2022-11-07 07:20:00,2022-11-07 08:10:00,-1.0854552862090037,1667.87,1670.64,2.77,1.1364620938218382,0.8333333333333334,sl
fib,2022-11-15 13:30:00,2022-11-15 13:40:00,-0.6242173298323571,1785.24,1772.72,12.52,0.6264376996754955,0.16666666666666666,time
fvg,2022-11-15 13:40:00,2022-11-15 14:30:00,-1.053873377900118,1777.22,1772.72,4.5,1.4093333333020366,0.8333333333333334,sl
fvg,2022-11-16 11:55:00,2022-11-16 12:30:00,-1.1195349761526232,1782.91,1780.88,2.03,1.0453201969928765,0.5833333333333334,sl
fvg,2022-11-16 12:30:00,2022-11-16 12:40:00,-1.2554260450160772,1781.83,1780.88,0.95,2.4347368418490825,0.16666666666666666,sl
harmonic,2022-12-30 01:00:00,2022-12-30 09:05:00,0.1466434513445541,1815.72,1812.92,2.8,0.2046428571355816,8.083333333333334,time
harmonic,2023-01-12 13:30:00,2023-01-12 14:40:00,-1.026079397276152,1893.21,1883.71,9.5,1.0373684210417138,1.1666666666666667,sl
harmonic,2023-01-12 15:15:00,2023-01-12 19:00:00,2.938225822191861,1887.57,1883.71,3.86,0.5634715025760642,3.75,tp
harmonic,2023-02-01 15:25:00,2023-02-01 17:00:00,-1.0462646947288585,1927.82,1922.41,5.41,1.0286506469310466,1.5833333333333333,sl
threevol,2023-02-06 02:15:00,2023-02-06 03:00:00,-1.095561734115951,1875.08,1872.49,2.59,1.102316602274049,0.75,sl
