s,entry,exit,r,px,sl,stop,mae,dur_h,reason
fvg,2022-02-07 01:35:00,2022-02-07 03:40:00,0.0496,1809.88,1805.77,4.11,0.23406326033499028,2.0833333333333335,time
fib,2022-02-22 01:05:00,2022-02-22 01:15:00,0.0467,1905.57,1902.49,3.08,0.0,0.16666666666666666,time
fvg,2022-02-22 01:05:00,2022-02-22 01:35:00,1.422288855572214,1905.57,1902.49,3.08,0.12402597402189346,0.5,tp
fvg,2022-02-22 01:35:00,2022-02-22 03:40:00,-0.13225583916428502,1909.91,1902.49,7.42,0.4881401617184982,2.0833333333333335,time
harmonic,2022-03-04 02:20:00,2022-03-04 04:25:00,0.3079,1937.0,1931.25,5.75,0.23165217390903342,2.0833333333333335,time
fvg,2022-03-04 14:35:00,2022-03-04 15:00:00,-1.025656206828498,1958.55,1948.76,9.79,1.6304392236809955,0.4166666666666667,sl
harmonic,2022-03-21 07:30:00,2022-03-21 09:35:00,-0.03429368956235669,1924.64,1920.2,4.44,0.4869369369259776,2.0833333333333335,time
threevol,2022-03-23 19:35:00,2022-03-23 19:55:00,1.409,1943.49,1940.73,2.76,0.0,0.3333333333333333,tp
fvg,2022-03-24 12:30:00,2022-03-24 13:15:00,1.4201395812562314,1944.99,1941.78,3.21,0.0,0.75,tp
fvg,2022-03-24 13:15:00,2022-03-24 14:15:00,1.4588084939048367,1948.01,1941.78,6.23,0.09181380417186318,1.0,tp
fvg,2022-03-24 14:15:00,2022-03-24 16:20:00,0.38755934502470696,1958.18,1941.78,16.4,0.03201219512176157,2.0833333333333335,time
harmonic,2022-04-08 17:20:00,2022-04-08 19:30:00,0.2652837339184203,1941.06,1935.87,5.19,0.11329479768567166,2.1666666666666665,time
harmonic,2022-05-04 07:00:00,2022-05-04 09:15:00,0.073801472050925,1867.36,1863.69,3.67,0.03188010899094654,2.25,time
harmonic,2022-05-18 01:20:00,2022-05-18 01:50:00,1.3811748335155551,1814.72,1816.86,2.14,0.18364485980451617,0.5,tp
harmonic,2022-05-18 01:50:00,2022-05-18 03:55:00,0.6223529411764706,1811.77,1816.86,5.09,0.3630648329987524,2.0833333333333335,time
harmonic,2022-05-19 05:55:00,2022-05-19 08:00:00,0.2259353078721746,1814.17,1818.52,4.35,0.36965517240528317,2.0833333333333335,time
harmonic,2022-05-31 00:35:00,2022-05-31 02:40:00,-0.4668999708369787,1848.88,1852.68,3.8,0.4257894736729893,2.0833333333333335,time
harmonic,2022-06-09 19:25:00,2022-06-09 21:35:00,-0.03682000195331575,1847.93,1850.76,2.83,0.052296819786106424,2.1666666666666665,time
fvg,2022-06-23 22:25:00,2022-06-24 00:30:00,0.0860920760544349,1823.4,1828.19,4.79,0.40876826721481824,2.0833333333333335,time
harmonic,2022-06-30 14:35:00,2022-06-30 15:55:00,-1.058524670249145,1809.29,1813.46,4.17,1.2724220623196159,1.3333333333333333,sl
fvg,2022-07-06 17:25:00,2022-07-06 19:15:00,-1.0648023143683703,1738.38,1742.09,3.71,1.4738544473995854,1.8333333333333333,sl
fvg,2022-07-20 08:30:00,2022-07-20 09:25:00,-1.1095623355102835,1707.96,1710.14,2.18,1.1472477063693813,0.9166666666666666,sl
fvg,2022-08-26 14:00:00,2022-08-26 14:10:00,-1.025924100542139,1745.38,1754.68,9.3,1.15784946235312,0.16666666666666666,sl
fib,2022-08-26 14:00:00,2022-08-26 14:10:00,-1.0258870564717641,1745.38,1754.68,9.3,1.15784946235312,0.16666666666666666,sl
fvg,2022-08-26 14:35:00,2022-08-26 16:40:00,1.2096404740563689,1745.64,1754.68,9.04,0.10442477875990239,2.0833333333333335,time
harmonic,2022-09-06 12:30:00,2022-09-06 12:55:00,1.4271748790362397,1711.66,1714.87,3.21,0.1943925233584375,0.4166666666666667,tp
harmonic,2022-09-06 12:55:00,2022-09-06 15:00:00,0.5983837990458574,1708.09,1714.87,6.78,0.5321533923225603,2.0833333333333335,time
threevol,2022-10-10 06:30:00,2022-10-10 07:10:00,-1.0867764520264274,1685.13,1687.87,2.74,1.2218978101742843,0.6666666666666666,sl
harmonic,2022-10-13 12:30:00,2022-10-13 14:35:00,0.5263718184457563,1658.86,1678.65,19.79,0.0,2.0833333333333335,time
threevol,2022-10-14 15:15:00,2022-10-14 17:20:00,0.8055029408832618,1645.44,1649.93,4.49,0.7389755010972251,2.0833333333333335,time
harmonic,2022-10-18 14:00:00,2022-10-18 15:35:00,1.450274381438336,1653.55,1658.29,4.74,0.016455696202179106,1.5833333333333333,tp
fvg,2022-11-03 02:10:00,2022-11-03 04:15:00,-0.11059726458722818,1638.15,1640.61,2.46,0.344715447140441,2.0833333333333335,time
threevol,2022-11-07 07:20:00,2022-11-07 08:10:00,-1.0854514884778954,1667.87,1670.64,2.77,1.1364620938218382,0.8333333333333334,sl
fib,2022-11-15 13:30:00,2022-11-15 13:40:00,-0.6242173298323571,1785.24,1772.72,12.52,0.6264376996754955,0.16666666666666666,time
fvg,2022-11-15 13:40:00,2022-11-15 14:30:00,-1.0538810086682426,1777.22,1772.72,4.5,1.4093333333020366,0.8333333333333334,sl
fvg,2022-11-16 11:55:00,2022-11-16 12:30:00,-1.1195619711299152,1782.91,1780.88,2.03,1.0453201969928765,0.5833333333333334,sl
fvg,2022-11-16 12:30:00,2022-11-16 12:40:00,-1.2554369714055578,1781.83,1780.88,0.95,2.4347368418490825,0.16666666666666666,sl
harmonic,2022-12-30 01:00:00,2022-12-30 03:05:00,0.9080470677547922,1815.72,1812.92,2.8,0.03392857142736944,2.0833333333333335,time
harmonic,2023-01-12 13:30:00,2023-01-12 14:40:00,-1.0261425615948843,1893.21,1883.71,9.5,1.0373684210417138,1.1666666666666667,sl
harmonic,2023-01-12 15:15:00,2023-01-12 16:40:00,1.4382364120106426,1887.57,1883.71,3.86,0.5634715025760642,1.4166666666666667,tp
harmonic,2023-02-01 15:25:00,2023-02-01 17:00:00,-1.0462720119895093,1927.82,1922.41,5.41,1.0286506469310466,1.5833333333333333,sl
threevol,2023-02-06 02:15:00,2023-02-06 03:00:00,-1.0955808838232355,1875.08,1872.49,2.59,1.102316602274049,0.75,sl
threevol,2023-02-07 15:35:00,2023-02-07 17:40:00,0.9452082490901739,1872.64,1867.67,4.97,0.5217303822832801,2.0833333333333335,time
harmonic,2023-02-07 15:35:00,2023-02-07 17:40:00,0.9451912154486937,1872.64,1867.67,4.97,0.5217303822832801,2.0833333333333335,time
threevol,2023-02-08 07:25:00,2023-02-08 07:55:00,1.4388143400761066,1879.12,1875.15,3.97,0.07128463475888497,0.5,tp
harmonic,2023-02-14 07:15:00,2023-02-14 09:20:00,0.8089834958739685,1858.07,1855.25,2.82,0.11879432623693509,2.0833333333333335,time
harmonic,2023-02-17 16:00:00,2023-02-17 18:15:00,0.3624186046511628,1836.58,1822.04,14.54,0.16519944979252382,2.25,time
harmonic,2023-02-28 21:00:00,2023-02-28 23:10:00,0.19946241542311613,1826.5,1824.75,1.75,0.6765714285327497,2.1666666666666665,time
fvg,2023-03-17 17:25:00,2023-03-17 18:05:00,1.4486591210359947,1968.01,1963.09,4.92,0.0,0.6666666666666666,tp
fvg,2023-03-17 18:05:00,2023-03-17 18:50:00,1.4673836566489096,1972.81,1965.05,7.76,0.0,0.75,tp
threevol,2023-03-23 16:25:00,2023-03-23 17:35:00,1.4318294007305754,1992.12,1988.4,3.72,0.37499999998991446,1.1666666666666667,tp
threevol,2023-03-23 18:05:00,2023-03-23 18:55:00,-1.0657971578742458,2001.32,1997.46,3.86,2.2940414507177755,0.8333333333333334,sl
threevol,2023-03-30 14:20:00,2023-03-30 16:10:00,1.4565666502705361,1970.42,1964.6,5.82,0.399484536075618,1.8333333333333333,tp
harmonic,2023-04-04 13:15:00,2023-04-04 14:00:00,1.4668393303117198,1984.92,1977.43,7.49,0.0,0.75,tp
threevol,2023-04-04 14:10:00,2023-04-04 16:15:00,0.5313681760884321,2015.85,2002.45,13.4,0.028731343283366996,2.0833333333333335,time
harmonic,2023-04-04 14:15:00,2023-04-04 16:20:00,0.06664235572978393,2019.85,2002.45,17.4,0.2520114942514248,2.0833333333333335,time
fvg,2023-04-11 14:45:00,2023-04-11 16:50:00,0.43536404160475484,2001.95,1994.5,7.45,0.06791946308634812,2.0833333333333335,time
