s,entry,exit,r,px,sl,stop,mae,dur_h,reason
fvg,2022-02-07 01:35:00,2022-02-21 00:15:00,4.9944,1810.13,1790.87,19.26,0.07746625129763461,334.6666666666667,tp
fvg,2022-02-22 01:05:00,2022-02-23 09:30:00,-1.0064768073149823,1905.82,1890.39,15.43,1.0545690213800698,32.416666666666664,sl
fib,2022-02-22 01:05:00,2022-02-23 09:30:00,-1.0064,1905.82,1890.39,15.43,1.0545690213800698,32.416666666666664,sl
fib,2022-03-04 15:00:00,2022-03-08 14:35:00,4.993332659864633,1946.48,1931.15,15.33,0.0,95.58333333333333,tp
harmonic,2022-03-04 02:20:00,2022-03-08 14:35:00,4.9952,1937.25,1920.36,16.89,0.19727649496627472,108.25,tp
fvg,2022-03-04 14:35:00,2022-03-15 05:15:00,-1.0036559553588609,1958.8,1931.41,27.39,1.0044541803541256,254.66666666666666,sl
harmonic,2022-03-21 07:30:00,2022-03-22 14:00:00,-1.0118095238095237,1924.89,1916.4,8.49,1.1333333333199926,30.5,sl
threevol,2022-03-23 19:35:00,2022-03-23 20:55:00,-0.0334,1943.74,1943.74,3.01,0.11029900331863038,1.3333333333333333,be
fvg,2022-03-24 12:30:00,2022-03-28 05:50:00,-1.010205073379337,1945.24,1935.43,9.81,1.2499490315876605,89.33333333333333,sl
harmonic,2022-04-08 17:20:00,2022-04-22 15:10:00,-1.0068315212162031,1941.31,1926.73,14.58,1.0186556927227706,333.8333333333333,sl
harmonic,2022-05-04 07:00:00,2022-05-05 12:45:00,4.990086500145786,1867.61,1859.65,7.96,0.7628140703421618,29.75,tp
harmonic,2022-05-18 01:20:00,2022-05-19 12:35:00,-1.0041658952045918,1814.47,1837.84,23.37,1.140265297384933,35.25,sl
harmonic,2022-05-31 00:35:00,2022-06-02 13:25:00,-1.0071067888535628,1848.63,1862.54,13.91,1.0282530553484586,60.833333333333336,sl
harmonic,2022-06-09 19:25:00,2022-06-10 14:45:00,-1.0144530511996976,1847.68,1854.45,6.77,1.0639586410478632,19.333333333333332,sl
harmonic,2022-06-30 14:35:00,2022-07-06 14:15:00,4.9897891020135505,1809.04,1820.4,11.36,0.49595070422098764,143.66666666666666,tp
fvg,2022-06-23 22:10:00,2022-07-14 13:00:00,4.995483997643825,1824.54,1848.24,23.7,0.6923206751025696,494.8333333333333,tp
fvg,2022-07-20 08:30:00,2022-07-21 15:00:00,-1.013278473910604,1707.71,1714.83,7.12,1.2455056179600263,30.5,sl
harmonic,2022-09-06 12:30:00,2022-09-08 07:00:00,-1.008635578583765,1711.41,1722.42,11.01,1.0279745685646648,42.5,sl
