s,entry,exit,r,px,sl,stop,mae,dur_h,reason
fvg,2022-02-07 01:35:00,2022-02-07 17:25:00,1.9753999999999998,1810.13,1805.77,4.36,0.34220183485458,15.833333333333334,tp
fvg,2022-02-22 01:05:00,2022-02-22 07:25:00,1.97303392822122,1905.82,1902.49,3.33,0.18978978978404068,6.333333333333333,tp
fib,2022-02-22 01:05:00,2022-02-22 07:25:00,1.9731,1905.82,1902.49,3.33,0.18978978978404068,6.333333333333333,tp
harmonic,2022-03-04 02:20:00,2022-03-04 12:10:00,1.9816,1937.25,1931.25,6.0,0.5553333333240956,9.833333333333334,tp
fvg,2022-03-04 14:35:00,2022-03-04 15:00:00,-1.010000961630926,1958.8,1948.76,10.04,1.6147410358404897,0.4166666666666667,sl
harmonic,2022-03-21 07:30:00,2022-03-21 13:25:00,-1.0212786820945283,1924.89,1920.2,4.69,1.4993603411194492,5.916666666666667,sl
threevol,2022-03-23 19:35:00,2022-03-24 02:05:00,-1.0334,1943.74,1940.73,3.01,1.0780730896652198,6.5,sl
fvg,2022-03-24 12:30:00,2022-03-24 13:25:00,1.9709539537594714,1945.24,1941.78,3.46,0.0,0.9166666666666666,tp
fvg,2022-03-24 13:25:00,2022-03-28 04:40:00,-1.008669143564828,1953.45,1941.78,11.67,1.019023136238059,87.25,sl
harmonic,2022-04-08 17:20:00,2022-04-11 08:20:00,1.9814741430552802,1941.31,1935.87,5.44,0.2624999999951532,63.0,tp
harmonic,2022-05-04 07:00:00,2022-05-04 12:25:00,-1.0251602875461434,1867.61,1863.69,3.92,1.0158163265046911,5.416666666666667,sl
harmonic,2022-05-18 01:20:00,2022-05-18 03:15:00,1.9551433058500196,1814.47,1816.86,2.39,0.26903765689252107,1.9166666666666667,tp
harmonic,2022-05-19 05:55:00,2022-05-19 08:45:00,-1.0211782826338083,1813.92,1818.52,4.6,1.9441304347403416,2.8333333333333335,sl
harmonic,2022-05-31 00:35:00,2022-05-31 03:00:00,-1.0242170783894184,1848.63,1852.68,4.05,1.1476543209592953,2.4166666666666665,sl
harmonic,2022-06-09 19:25:00,2022-06-10 11:15:00,1.9714033018867925,1847.68,1850.76,3.08,0.16818181817636718,15.833333333333334,tp
fvg,2022-06-23 22:10:00,2022-06-24 07:50:00,-1.0267539216629775,1824.54,1828.19,3.65,1.8145205478955055,9.666666666666666,sl
harmonic,2022-06-30 14:35:00,2022-06-30 15:55:00,-1.021971668112171,1809.04,1813.46,4.42,1.2570135746322033,1.3333333333333333,sl
fvg,2022-07-06 17:25:00,2022-07-06 19:15:00,-1.0240178918708673,1738.13,1742.09,3.96,1.4439393939028922,1.8333333333333333,sl
fvg,2022-07-20 08:30:00,2022-07-20 09:25:00,-1.0389036251105217,1707.71,1710.14,2.43,1.1320987653855006,0.9166666666666666,sl
fvg,2022-07-21 00:00:00,2022-07-21 07:10:00,1.9779608855355901,1694.18,1697.99,3.81,0.3170603674457087,7.166666666666667,tp
fvg,2022-08-26 14:00:00,2022-08-26 14:10:00,-1.0100272585669783,1745.13,1754.68,9.55,1.1537172774748092,0.16666666666666666,sl
fib,2022-08-26 14:00:00,2022-08-26 14:10:00,-1.0100029420417769,1745.13,1754.68,9.55,1.1537172774748092,0.16666666666666666,sl
fvg,2022-08-26 14:20:00,2022-08-26 15:00:00,1.9814122738001572,1749.54,1754.68,5.14,0.0,0.6666666666666666,tp
fvg,2022-08-26 15:00:00,2022-08-31 08:30:00,1.992960462873674,1741.25,1754.68,13.43,0.31034996276759924,113.5,tp
harmonic,2022-09-06 12:30:00,2022-09-06 14:00:00,1.9727387790867492,1711.41,1714.87,3.46,0.2526011560620704,1.5,tp
threevol,2022-10-10 06:30:00,2022-10-10 07:10:00,-1.0314236637364858,1684.88,1687.87,2.99,1.2033444815650147,0.6666666666666666,sl
threevol,2022-10-14 15:15:00,2022-10-17 01:30:00,-1.0196018376722817,1645.19,1649.93,4.74,1.2738396624203374,58.25,sl
harmonic,2022-10-13 12:30:00,2022-10-21 07:10:00,1.9958942041439893,1658.61,1678.65,20.04,0.6905189620724123,186.66666666666666,tp
fvg,2022-11-03 02:10:00,2022-11-03 07:05:00,1.9621820932211402,1637.9,1640.61,2.71,0.4051660516455497,4.916666666666667,tp
threevol,2022-11-07 07:20:00,2022-11-07 08:10:00,-1.0309437854564207,1667.62,1670.64,3.02,1.125165562876696,0.8333333333333334,sl
fvg,2022-11-15 13:40:00,2022-11-15 14:30:00,-1.0202151335311571,1777.47,1772.72,4.75,1.3877894736550145,0.8333333333333334,sl
fib,2022-11-15 13:30:00,2022-11-15 14:30:00,-1.007529225282346,1785.49,1772.72,12.77,1.1442443226222128,1.0,sl
fvg,2022-11-16 11:55:00,2022-11-16 12:30:00,-1.0422522016113922,1783.16,1780.88,2.28,1.0403508771473842,0.5833333333333334,sl
fvg,2022-11-16 12:30:00,2022-11-16 12:40:00,-1.0802802234213766,1782.08,1780.88,1.2,2.135833333155432,0.16666666666666666,sl
harmonic,2022-12-30 00:30:00,2022-12-30 06:20:00,1.953477487597117,1815.01,1812.92,2.09,0.021531100477473517,5.833333333333333,tp
harmonic,2023-01-12 13:30:00,2023-01-12 14:40:00,-1.0101919015701037,1893.46,1883.71,9.75,1.0364102563996285,1.1666666666666667,sl
harmonic,2023-01-12 15:15:00,2023-01-12 17:25:00,1.9782951488730174,1887.82,1883.71,4.11,0.5900243308858764,2.1666666666666665,tp
harmonic,2023-02-01 15:25:00,2023-02-01 17:00:00,-1.0176459887211207,1928.07,1922.41,5.66,1.0273851589924186,1.5833333333333333,sl
threevol,2023-02-06 02:15:00,2023-02-06 03:00:00,-1.0348097967691505,1875.33,1872.49,2.84,1.0933098591164392,0.75,sl
threevol,2023-02-07 15:35:00,2023-02-07 17:45:00,1.9810426540284358,1872.89,1867.67,5.22,0.5446360153152512,2.1666666666666665,tp
harmonic,2023-02-07 15:35:00,2023-02-07 17:45:00,1.981071395754847,1872.89,1867.67,5.22,0.5446360153152512,2.1666666666666665,tp
threevol,2023-02-08 07:25:00,2023-02-08 13:20:00,-1.0233374638579098,1879.38,1875.15,4.23,1.5300236406258165,5.916666666666667,sl
harmonic,2023-02-14 07:15:00,2023-02-14 11:30:00,-1.0319877455397368,1858.32,1855.25,3.07,1.5446254071157979,4.25,sl
harmonic,2023-02-17 16:00:00,2023-02-23 13:30:00,-1.0065549890750183,1836.83,1822.04,14.79,1.1448275861991573,141.5,sl
harmonic,2023-02-28 21:00:00,2023-03-01 00:00:00,-1.0487445967074405,1826.75,1824.75,2.0,1.0374999999481478,3.0,sl
fvg,2023-03-17 17:25:00,2023-03-17 18:15:00,1.9784668389319553,1968.26,1963.09,5.17,0.0,0.8333333333333334,tp
fvg,2023-03-17 18:15:00,2023-03-20 07:20:00,1.9918355855855856,1977.48,1965.05,12.43,0.7614641995111643,61.083333333333336,tp
threevol,2023-03-23 16:25:00,2023-03-23 18:00:00,1.971932387312187,1992.38,1988.4,3.98,0.41582914571824553,1.5833333333333333,tp
threevol,2023-03-23 18:05:00,2023-03-23 18:55:00,-1.0248644223882124,2001.57,1997.46,4.11,2.215328467099388,0.8333333333333334,sl
threevol,2023-03-30 14:20:00,2023-03-30 16:35:00,1.983252351907371,1970.67,1964.6,6.07,0.4242174629254734,2.25,tp
harmonic,2023-04-04 13:15:00,2023-04-04 14:00:00,1.988102983548657,1985.17,1977.43,7.74,0.0,0.75,tp
harmonic,2023-04-04 14:15:00,2023-04-06 13:55:00,-1.0058324979495123,2020.1,2002.45,17.65,1.082152974498113,47.666666666666664,sl
threevol,2023-04-04 14:10:00,2023-04-06 13:55:00,-1.00750126710593,2016.1,2002.45,13.65,1.1062271062189952,47.75,sl
fvg,2023-04-11 14:45:00,2023-04-12 02:35:00,1.9880382775119616,2002.2,1994.5,7.7,0.16818181817964345,11.833333333333334,tp
harmonic,2023-05-30 23:45:00,2023-05-31 01:30:00,-1.0710669244223512,1958.48,1957.06,1.42,1.151408450623134,1.75,sl
harmonic,2023-06-01 12:00:00,2023-06-01 12:15:00,-1.0206588498045785,1966.26,1961.36,4.9,1.0930612244674873,0.25,sl
harmonic,2023-06-01 12:30:00,2023-06-01 12:50:00,1.9495158409325937,1963.56,1961.36,2.2,0.0,0.3333333333333333,tp
fvg,2023-06-12 12:35:00,2023-06-12 13:05:00,-1.0543125225550343,1962.95,1961.09,1.86,1.1693548386467845,0.5,sl
harmonic,2023-07-05 12:40:00,2023-07-05 13:40:00,-1.033843600147547,1929.45,1926.49,2.96,1.4341216215732115,1.0,sl
harmonic,2023-07-25 15:00:00,2023-07-26 08:00:00,1.9727916511367873,1963.18,1959.09,4.09,0.4999999999877929,17.0,tp
harmonic,2023-08-15 05:40:00,2023-08-15 14:35:00,-1.0222953216374269,1904.63,1909.1,4.47,1.1912751677585438,8.916666666666666,sl
harmonic,2023-08-29 12:15:00,2023-08-29 13:55:00,-1.0165251107828657,1915.65,1921.71,6.06,1.0189768976729467,1.6666666666666667,sl
harmonic,2023-09-05 05:30:00,2023-09-05 08:05:00,1.9468382764409626,1937.76,1939.46,1.7,0.21647058822252419,2.5833333333333335,tp
harmonic,2023-10-02 00:35:00,2023-10-02 05:40:00,1.9615736505032022,1846.11,1848.66,2.55,0.47254901958937245,5.083333333333333,tp
harmonic,2023-10-02 13:45:00,2023-10-02 23:10:00,1.9844773441004933,1835.18,1841.45,6.27,0.0,9.416666666666666,tp
threevol,2023-10-19 16:55:00,2023-10-19 17:20:00,1.98136391562564,1961.68,1956.79,4.89,0.039877300612714925,0.4166666666666667,tp
harmonic,2023-10-27 06:05:00,2023-10-27 09:50:00,-1.0260425831427065,1989.23,1985.33,3.9,1.049999999973084,3.75,sl
