s,entry,exit,r,px,sl,stop,mae,dur_h,reason
fvg,2022-02-07 01:35:00,2022-02-07 05:40:00,0.08070000000000001,1810.13,1805.77,4.36,0.27798165136982067,4.083333333333333,time
fib,2022-02-22 01:05:00,2022-02-22 01:15:00,0.013000000000000001,1905.82,1902.49,3.33,0.0,0.16666666666666666,time
fvg,2022-02-22 01:05:00,2022-02-22 05:10:00,0.6691646682653877,1905.82,1902.49,3.33,0.18978978978404068,4.083333333333333,time
harmonic,2022-03-04 02:20:00,2022-03-04 06:25:00,-0.4754,1937.25,1931.25,6.0,0.48033333332533806,4.083333333333333,time
fvg,2022-03-04 14:35:00,2022-03-04 15:00:00,-1.0100248138957817,1958.8,1948.76,10.04,1.6147410358404897,0.4166666666666667,sl
harmonic,2022-03-21 07:30:00,2022-03-21 11:35:00,0.02622588424437299,1924.89,1920.2,4.69,0.5356076758947996,4.083333333333333,time
threevol,2022-03-23 19:35:00,2022-03-23 23:40:00,0.7965000000000001,1943.74,1940.73,3.01,0.5106312292189275,4.083333333333333,time
fvg,2022-03-24 12:30:00,2022-03-24 13:25:00,1.9709214880176475,1945.24,1941.78,3.46,0.0,0.9166666666666666,tp
fvg,2022-03-24 13:25:00,2022-03-24 17:30:00,0.8724680432645034,1953.45,1941.78,11.67,0.5151670951112619,4.083333333333333,time
harmonic,2022-04-08 17:20:00,2022-04-08 21:30:00,1.052837769964842,1941.31,1935.87,5.44,0.15404411764422077,4.166666666666667,time
harmonic,2022-05-04 07:00:00,2022-05-04 11:15:00,-0.28071570576540755,1867.61,1863.69,3.92,0.44948979590688637,4.25,time
harmonic,2022-05-18 01:20:00,2022-05-18 03:15:00,1.9551435406698565,1814.47,1816.86,2.39,0.26903765689252107,1.9166666666666667,tp
harmonic,2022-05-19 05:55:00,2022-05-19 08:45:00,-1.0211184982401251,1813.92,1818.52,4.6,1.9441304347403416,2.8333333333333335,sl
harmonic,2022-05-31 00:35:00,2022-05-31 03:00:00,-1.024202311567717,1848.63,1852.68,4.05,1.1476543209592953,2.4166666666666665,sl
harmonic,2022-06-09 19:25:00,2022-06-09 23:30:00,0.44451097804391215,1847.68,1850.76,3.08,0.16818181817636718,4.083333333333333,time
fvg,2022-06-23 22:10:00,2022-06-24 02:15:00,-0.13851252558728921,1824.54,1828.19,3.65,0.22410958903495143,4.083333333333333,time
harmonic,2022-06-30 14:35:00,2022-06-30 15:55:00,-1.0219594594594594,1809.04,1813.46,4.42,1.2570135746322033,1.3333333333333333,sl
fvg,2022-07-06 17:25:00,2022-07-06 19:15:00,-1.0240140570089808,1738.13,1742.09,3.96,1.4439393939028922,1.8333333333333333,sl
fvg,2022-07-20 08:30:00,2022-07-20 09:25:00,-1.0388598481112536,1707.71,1710.14,2.43,1.1320987653855006,0.9166666666666666,sl
fvg,2022-07-21 00:00:00,2022-07-21 04:05:00,0.7527406816822803,1694.18,1697.99,3.81,0.3170603674457087,4.083333333333333,time
fvg,2022-08-26 14:00:00,2022-08-26 14:10:00,-1.0099901088031653,1745.13,1754.68,9.55,1.1537172774748092,0.16666666666666666,sl
fib,2022-08-26 14:00:00,2022-08-26 14:10:00,-1.00999900009999,1745.13,1754.68,9.55,1.1537172774748092,0.16666666666666666,sl
fvg,2022-08-26 14:20:00,2022-08-26 15:00:00,1.9814148681055157,1749.54,1754.68,5.14,0.0,0.6666666666666666,tp
fvg,2022-08-26 15:00:00,2022-08-26 19:05:00,0.3147168332353517,1741.25,1754.68,13.43,0.0,4.083333333333333,time
harmonic,2022-09-06 12:30:00,2022-09-06 14:00:00,1.972693504668206,1711.41,1714.87,3.46,0.2526011560620704,1.5,tp
threevol,2022-10-10 06:30:00,2022-10-10 07:10:00,-1.0313492063492062,1684.88,1687.87,2.99,1.2033444815650147,0.6666666666666666,sl
