s,entry,exit,r,px,sl,stop,mae,dur_h,reason
fvg,2022-02-07 01:35:00,2022-02-07 09:40:00,0.2594,1810.13,1805.77,4.36,0.34220183485458,8.083333333333334,time
fib,2022-02-22 01:05:00,2022-02-22 01:15:00,0.013000000000000001,1905.82,1902.49,3.33,0.0,0.16666666666666666,time
fvg,2022-02-22 01:05:00,2022-02-22 08:30:00,-1.0299222022740873,1905.82,1902.49,3.33,1.2558558558181474,7.416666666666667,sl
harmonic,2022-03-04 02:20:00,2022-03-04 10:25:00,0.9813,1937.25,1931.25,6.0,0.5553333333240956,8.083333333333334,time
fvg,2022-03-04 14:35:00,2022-03-04 15:00:00,-1.0100775975007559,1958.8,1948.76,10.04,1.6147410358404897,0.4166666666666667,sl
harmonic,2022-03-21 07:30:00,2022-03-21 13:25:00,-1.0212913448207566,1924.89,1920.2,4.69,1.4993603411194492,5.916666666666667,sl
threevol,2022-03-23 19:35:00,2022-03-24 02:05:00,-1.0334,1943.74,1940.73,3.01,1.0780730896652198,6.5,sl
fvg,2022-03-24 12:30:00,2022-03-24 13:30:00,2.9708816941559766,1945.24,1941.78,3.46,0.0,1.0,tp
fvg,2022-03-24 13:30:00,2022-03-24 21:35:00,0.09254498714652956,1956.23,1941.78,14.45,0.6084429065701781,8.083333333333334,time
harmonic,2022-04-08 17:20:00,2022-04-09 01:30:00,1.0528264132066034,1941.31,1935.87,5.44,0.15404411764422077,8.166666666666666,time
harmonic,2022-05-04 07:00:00,2022-05-04 12:25:00,-1.0251485148514852,1867.61,1863.69,3.92,1.0158163265046911,5.416666666666667,sl
harmonic,2022-05-18 01:20:00,2022-05-18 08:15:00,-1.0407122136640994,1814.47,1816.86,2.39,1.0995815899121217,6.916666666666667,sl
harmonic,2022-05-19 05:55:00,2022-05-19 08:45:00,-1.021126048721318,1813.92,1818.52,4.6,1.9441304347403416,2.8333333333333335,sl
harmonic,2022-05-31 00:35:00,2022-05-31 03:00:00,-1.024203431372549,1848.63,1852.68,4.05,1.1476543209592953,2.4166666666666665,sl
harmonic,2022-06-09 19:25:00,2022-06-10 03:30:00,0.8195232690124858,1847.68,1850.76,3.08,0.16818181817636718,8.083333333333334,time
fvg,2022-06-23 22:10:00,2022-06-24 06:15:00,0.1628802844725405,1824.54,1828.19,3.65,0.6706849314884998,8.083333333333334,time
harmonic,2022-06-30 14:35:00,2022-06-30 15:55:00,-1.0220038890594618,1809.04,1813.46,4.42,1.2570135746322033,1.3333333333333333,sl
fvg,2022-07-06 17:25:00,2022-07-06 19:15:00,-1.0240631163708087,1738.13,1742.09,3.96,1.4439393939028922,1.8333333333333333,sl
fvg,2022-07-20 08:30:00,2022-07-20 09:25:00,-1.0388601036269431,1707.71,1710.14,2.43,1.1320987653855006,0.9166666666666666,sl
fvg,2022-07-21 00:00:00,2022-07-21 08:05:00,1.4939589206604913,1694.18,1697.99,3.81,0.3170603674457087,8.083333333333334,time
