s,entry,exit,r,px,sl,stop,mae,dur_h,reason
fvg,2022-02-07 01:35:00,2022-02-07 03:40:00,0.0232,1810.13,1805.77,4.36,0.27798165136982067,2.0833333333333335,time
fib,2022-02-22 01:05:00,2022-02-22 01:15:00,0.013000000000000001,1905.82,1902.49,3.33,0.0,0.16666666666666666,time
fvg,2022-02-22 01:05:00,2022-02-22 01:40:00,1.471605678864227,1905.82,1902.49,3.33,0.18978978978404068,0.5833333333333334,tp
fvg,2022-02-22 01:40:00,2022-02-22 03:45:00,-0.048866995073891625,1909.68,1902.49,7.19,0.4717663421353096,2.0833333333333335,time
harmonic,2022-03-04 02:20:00,2022-03-04 04:25:00,0.2784,1937.25,1931.25,6.0,0.2636666666622901,2.0833333333333335,time
fvg,2022-03-04 14:35:00,2022-03-04 15:00:00,-1.010054213898472,1958.8,1948.76,10.04,1.6147410358404897,0.4166666666666667,sl
harmonic,2022-03-21 07:30:00,2022-03-21 09:35:00,-0.05374950139609094,1924.89,1920.2,4.69,0.514285714274756,2.0833333333333335,time
threevol,2022-03-23 19:35:00,2022-03-23 19:55:00,1.4682,1943.74,1940.73,3.01,0.08870431893394762,0.3333333333333333,tp
fvg,2022-03-24 12:30:00,2022-03-24 13:25:00,1.4709221270663215,1945.24,1941.78,3.46,0.0,0.9166666666666666,tp
fvg,2022-03-24 13:25:00,2022-03-24 15:30:00,0.6453385672227674,1953.45,1941.78,11.67,0.5151670951112619,2.0833333333333335,time
harmonic,2022-04-08 17:20:00,2022-04-08 19:30:00,0.23488325683496308,1941.31,1935.87,5.44,0.15404411764422077,2.1666666666666665,time
harmonic,2022-05-04 07:00:00,2022-05-04 09:15:00,0.04320127413896078,1867.61,1863.69,3.92,0.09362244897719377,2.25,time
harmonic,2022-05-18 01:20:00,2022-05-18 01:55:00,1.457313432835821,1814.47,1816.86,2.39,0.26903765689252107,0.5833333333333334,tp
harmonic,2022-05-18 01:55:00,2022-05-18 04:00:00,0.7975875257428655,1812.24,1816.86,4.62,0.29826839826192686,2.0833333333333335,time
harmonic,2022-05-19 05:55:00,2022-05-19 08:00:00,0.1912823506518778,1813.92,1818.52,4.6,0.4039130434694687,2.0833333333333335,time
harmonic,2022-05-31 00:35:00,2022-05-31 02:40:00,-0.46319673723053023,1848.63,1852.68,4.05,0.4612345678898308,2.0833333333333335,time
harmonic,2022-06-09 19:25:00,2022-06-09 21:30:00,-0.06692682926829269,1847.68,1850.76,3.08,0.16818181817636718,2.0833333333333335,time
fvg,2022-06-23 22:10:00,2022-06-24 00:15:00,0.10257410296411856,1824.54,1828.19,3.65,0.22410958903495143,2.0833333333333335,time
harmonic,2022-06-30 14:35:00,2022-06-30 15:55:00,-1.0219662208337401,1809.04,1813.46,4.42,1.2570135746322033,1.3333333333333333,sl
fvg,2022-07-06 17:25:00,2022-07-06 19:15:00,-1.024060003896357,1738.13,1742.09,3.96,1.4439393939028922,1.8333333333333333,sl
fvg,2022-07-20 08:30:00,2022-07-20 09:25:00,-1.0388741265623462,1707.71,1710.14,2.43,1.1320987653855006,0.9166666666666666,sl
fvg,2022-07-21 00:00:00,2022-07-21 02:05:00,0.46404773744405764,1694.18,1697.99,3.81,0.3170603674457087,2.0833333333333335,time
fvg,2022-08-26 14:00:00,2022-08-26 14:10:00,-1.009998020194021,1745.13,1754.68,9.55,1.1537172774748092,0.16666666666666666,sl
fib,2022-08-26 14:00:00,2022-08-26 14:10:00,-1.00999900009999,1745.13,1754.68,9.55,1.1537172774748092,0.16666666666666666,sl
fvg,2022-08-26 14:20:00,2022-08-26 14:50:00,1.4813999999999998,1749.54,1754.68,5.14,0.0,0.5,tp
