trade_id,entry_time,exit_time,direction,confirmation,confluence_count,msb_type,harmonic_pattern,harmonic_tf,confidence,fvg1_quality,fvg1_gap_size,fvg1_gap_atr,stop_price,risk_fraction,entry_price,sl,tp,risk_pts,risk_pct,risk_dollar,exit_price,result,pnl_dollar,equity_after,rr
1,2026-04-06 07:35:00,2026-04-06 07:50:00,bull,EMA,1,three_vol,,,51.3700,49.0600,4.0000,0.1231,4676.0000,0.0050,4682.6000,4673.6600,4700.4800,8.9400,0.1909,50.0000,4700.4800,WIN,100.0000,10100.0000,2.0000
2,2026-04-06 22:05:00,2026-04-07 01:00:00,bull,EMA+PRZ,1,mitigation,Bat,5m,56.2100,82.6500,21.8800,0.0000,4671.4000,0.0050,4694.5000,4669.0600,4745.3700,25.4400,0.5418,50.5000,4669.0600,LOSS,-50.5000,10049.5000,2.0000
3,2026-04-07 15:55:00,2026-04-07 19:45:00,bull,EMA+PRZ,1,three_vol,Gartley,5m,72.4900,97.7300,3.4400,0.0000,4656.6000,0.0050,4681.8000,4654.2700,4736.8600,27.5300,0.5880,50.2500,4736.8600,WIN,100.5000,10150.0000,2.0000
4,2026-04-10 17:15:00,2026-04-10 20:25:00,bull,EMA+PRZ,1,mitigation,Bat,5m,70.7000,79.8500,9.7400,0.0000,4768.5000,0.0050,4791.5000,4766.1200,4842.2700,25.3800,0.5298,50.7500,4766.1200,LOSS,-50.7500,10099.2500,2.0000
5,2026-04-14 13:20:00,2026-04-14 14:35:00,bull,EMA+RSI+BB,2,three_vol,,,73.4000,62.3200,22.6000,1.0880,4803.3000,0.0100,4814.2000,4800.9000,4840.8000,13.3000,0.2763,100.9900,4840.8000,WIN,201.9800,10301.2300,2.0000
6,2026-04-17 11:25:00,2026-04-17 12:45:00,bull,EMA+PRZ,1,mitigation,Bat,5m,67.8600,89.9800,3.0800,0.0000,4800.0000,0.0050,4814.9000,4797.6000,4849.5000,17.3000,0.3593,51.5100,4849.5000,WIN,103.0200,10404.2500,2.0000
7,2026-04-21 07:10:00,2026-04-21 14:45:00,bear,EMA,1,mitigation,,,40.2900,48.5500,4.9000,0.2916,4828.8000,0.0050,4801.7000,4831.2100,4742.6700,29.5100,0.6147,52.0200,4742.6700,WIN,104.0600,10508.3100,2.0000
8,2026-04-28 01:50:00,2026-04-28 05:05:00,bear,EMA+OB,1,three_vol,,,76.9500,79.8800,11.7000,0.8635,4702.3000,0.0050,4694.8000,4704.6500,4675.1000,9.8500,0.2098,52.5400,4675.1000,WIN,105.0800,10613.3900,2.0000
9,2026-04-28 23:00:00,2026-04-29 00:00:00,bear,EMA,1,mitigation,,,32.0300,39.4000,2.9000,0.1120,4614.0000,0.0050,4607.2000,4616.3100,4588.9900,9.1100,0.1977,53.0700,4616.3100,LOSS,-53.0700,10560.3200,2.0000
10,2026-05-06 11:50:00,2026-05-06 12:15:00,bull,EMA+BB,1,mitigation,,,57.3100,87.8700,11.7000,0.8635,4682.8000,0.0050,4709.0000,4680.4600,4766.0800,28.5400,0.6061,52.8000,4680.4600,LOSS,-52.8000,10507.5200,2.0000
11,2026-05-12 09:50:00,2026-05-12 11:55:00,bear,EMA,1,mitigation,,,58.5300,56.5100,5.8000,0.2969,4714.8000,0.0050,4705.3000,4717.1600,4681.5900,11.8600,0.2520,52.5400,4717.1600,LOSS,-52.5400,10454.9800,2.0000
12,2026-05-14 10:20:00,2026-05-15 00:00:00,bear,EMA+HS,1,mitigation,,,56.5400,55.1500,17.2000,0.0000,4725.8000,0.0050,4701.0000,4728.1600,4646.6700,27.1600,0.5778,52.2700,4646.6700,WIN,104.5600,10559.5400,2.0000
13,2026-05-14 13:25:00,2026-05-15 00:00:00,bear,EMA+RSI+PRZ,2,mitigation,Gartley,5m,96.3100,90.7700,1.2400,0.0000,4715.2000,0.0100,4694.6000,4717.5600,4648.6800,22.9600,0.4890,104.5500,4648.6800,WIN,209.1000,10768.6400,2.0000
14,2026-05-22 01:35:00,2026-05-27 10:45:00,bear,EMA+PRZ,1,mitigation,Bat,5m,62.6600,80.6700,2.9600,0.0000,4547.0000,0.0050,4524.3000,4549.2700,4474.3500,24.9700,0.5520,53.8400,4474.3500,WIN,107.7000,10876.3400,2.0000
